% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 28 2026, 13:19
% Table:              Tabla 10 - Valor propio 1
% a (nm)                                          lambda                                            Energía propia (eV)                               Probabilidad total (1)
6                                                 0.06583086113680746                               0.06583086113680746                               1.0000000000000002
6                                                 0.07400309891047695                               0.07400309891047696                               1.0000000000000016
6                                                 0.07400310076537993                               0.07400310076537993                               1.000000000000001
6                                                 0.08454508962160505                               0.08454508962160505                               0.9999999999999994
6                                                 0.08569707203775986                               0.08569707203775986                               1.0000000000000002
6                                                 0.085697072758608                                 0.085697072758608                                 1.0000000000000007
6                                                 0.08907766903848709                               0.0890776690384871                                1.0000000000000002
6                                                 0.08907767095898679                               0.0890776709589868                                1.0000000000000022
6                                                 0.09481036676322767                               0.09481036676322768                               1.0000000000000004
6                                                 0.09481036734780182                               0.09481036734780182                               1.0000000000000009
6                                                 0.09723321331088716                               0.09723321331088718                               1
6                                                 0.09723321577886461                               0.09723321577886462                               0.9999999999999988
6                                                 0.1027913746244005                                0.1027913746244005                                1
6                                                 0.10279137607166693                               0.10279137607166693                               1.0000000000000007
6                                                 0.11302413407378349                               0.11302413407378349                               0.9999999999999991
6                                                 0.11302413469283483                               0.11302413469283483                               1.0000000000000002
6                                                 0.1254919366783654                                0.1254919366783654                                1.0000000000000018
6                                                 0.12549193843129483                               0.12549193843129483                               1.0000000000000009
6                                                 0.13322415361220669                               0.13322415361220669                               0.9999999999999992
6                                                 0.13322415523914413                               0.13322415523914413                               1.0000000000000027
6                                                 0.1401737502457047                                0.1401737502457047                                0.9999999999999992
6                                                 0.14017375086065206                               0.14017375086065206                               1.0000000000000018
6                                                 0.15704522506218038                               0.15704522506218038                               0.9999999999999988
6                                                 0.15704522698230614                               0.15704522698230614                               0.9999999999999982
6                                                 0.17607894256687806                               0.17607894256687806                               0.9999999999999998
6                                                 0.17607894393611545                               0.17607894393611548                               0.9999999999999984
6                                                 0.17981775173045628                               0.17981775173045628                               1.0000000000000009
6                                                 0.17981775368731207                               0.1798177536873121                                1.0000000000000004
6                                                 0.19724441195666909                               0.19724441195666909                               0.9999999999999987
6                                                 0.19724441335730108                               0.1972444133573011                                0.9999999999999997
6.25                                              0.0696488319718172                                0.0696488319718172                                0.9999999999999996
6.25                                              0.07751752935875876                               0.07751752935875876                               1.0000000000000022
6.25                                              0.0775175309533057                                0.0775175309533057                                0.9999999999999988
6.25                                              0.08454956030484527                               0.08454956030484528                               1.000000000000001
6.25                                              0.08570774820986488                               0.08570774820986488                               0.9999999999999964
6.25                                              0.08570774893076365                               0.08570774893076365                               0.9999999999999999
6.25                                              0.08908429415722102                               0.08908429415722104                               1.0000000000000016
6.25                                              0.08908429608646332                               0.08908429608646333                               1.0000000000000004
6.25                                              0.09481053596301837                               0.09481053596301837                               1.0000000000000016
6.25                                              0.09481053654744809                               0.0948105365474481                                1.0000000000000013
6.25                                              0.10004764078844793                               0.10004764078844794                               0.9999999999999989
6.25                                              0.1000476427626244                                0.10004764276262441                               1.0000000000000024
6.25                                              0.10279139044837463                               0.10279139044837463                               1
6.25                                              0.10279139189562608                               0.1027913918956261                                1.0000000000000002
6.25                                              0.11302413606077732                               0.11302413606077734                               1.0000000000000002
6.25                                              0.11302413667983156                               0.11302413667983156                               1.0000000000000009
6.25                                              0.12549193695682148                               0.12549193695682148                               0.9999999999999999
6.25                                              0.12549193870975187                               0.12549193870975187                               1.0000000000000007
6.25                                              0.13520667934216488                               0.13520667934216488                               0.9999999999999983
6.25                                              0.13520668103203481                               0.13520668103203481                               0.9999999999999982
6.25                                              0.140173750286491                                 0.140173750286491                                 1.0000000000000038
6.25                                              0.1401737509014326                                0.1401737509014326                                0.9999999999999987
6.25                                              0.1570452250681446                                0.1570452250681446                                0.9999999999999994
6.25                                              0.15704522698828652                               0.15704522698828655                               0.9999999999999994
6.25                                              0.17607894256765544                               0.17607894256765547                               0.9999999999999988
6.25                                              0.17607894393687784                               0.17607894393687784                               1.0000000000000016
6.25                                              0.1810479769420389                                0.1810479769420389                                0.9999999999999999
6.25                                              0.18104798236417327                               0.18104798236417327                               0.9999999999999993
6.25                                              0.197244411956681                                 0.197244411956681                                 1.0000000000000004
6.25                                              0.1972444133573032                                0.19724441335730322                               0.9999999999999989
6.499999999999999                                 0.07375982273293302                               0.07375982273293302                               1.0000000000000002
6.499999999999999                                 0.08132931262415768                               0.08132931262415768                               0.9999999999999983
6.499999999999999                                 0.08132931405361758                               0.0813293140536176                                1.0000000000000002
6.499999999999999                                 0.08455772352133908                               0.08455772352133908                               0.999999999999999
6.499999999999999                                 0.08573848792513337                               0.08573848792513337                               1.0000000000000007
6.499999999999999                                 0.08573848864958941                               0.08573848864958941                               0.9999999999999998
6.499999999999999                                 0.08908864449327056                               0.08908864449327057                               0.9999999999999994
6.499999999999999                                 0.08908864642489311                               0.08908864642489311                               1.0000000000000002
6.499999999999999                                 0.09481072221374186                               0.09481072221374186                               1
6.499999999999999                                 0.09481072279822905                               0.09481072279822905                               0.9999999999999986
6.499999999999999                                 0.10279141073087968                               0.10279141073087968                               0.9999999999999994
6.499999999999999                                 0.10279141217814843                               0.10279141217814843                               1.0000000000000002
6.499999999999999                                 0.10321057720317271                               0.10321057720317271                               1.0000000000000016
6.499999999999999                                 0.10321057949208565                               0.10321057949208565                               1.0000000000000013
6.499999999999999                                 0.11302413889362774                               0.11302413889362775                               0.9999999999999987
6.499999999999999                                 0.11302413951268134                               0.11302413951268134                               0.9999999999999986
6.499999999999999                                 0.12549193739240416                               0.12549193739240416                               1.0000000000000002
6.499999999999999                                 0.12549193914533507                               0.12549193914533507                               1.0000000000000013
6.499999999999999                                 0.13753431217923356                               0.13753431217923356                               1.0000000000000002
6.499999999999999                                 0.13753431387349602                               0.13753431387349604                               1.0000000000000004
6.499999999999999                                 0.14017375035634522                               0.14017375035634522                               0.9999999999999999
6.499999999999999                                 0.14017375097127943                               0.14017375097127943                               0.9999999999999999
6.499999999999999                                 0.15704522507965343                               0.15704522507965343                               1.0000000000000018
6.499999999999999                                 0.15704522699979886                               0.1570452269997989                                1.0000000000000007
6.499999999999999                                 0.1760789425696656                                0.17607894256966564                               0.9999999999999988
6.499999999999999                                 0.17607894393889711                               0.17607894393889714                               0.9999999999999991
6.499999999999999                                 0.18257750211182966                               0.1825775021118297                                1.0000000000000016
6.499999999999999                                 0.1825775031323819                                0.18257750313238194                               0.9999999999999998
6.499999999999999                                 0.19724441195710885                               0.19724441195710887                               1.000000000000001
6.499999999999999                                 0.19724441335774637                               0.19724441335774637                               0.9999999999999991
6.749999999999999                                 0.07818636805511806                               0.07818636805511806                               0.9999999999999997
6.749999999999999                                 0.08457800862183915                               0.08457800862183915                               0.9999999999999988
6.749999999999999                                 0.08509374274141275                               0.08509374274141275                               0.9999999999999988
