% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 28 2026, 13:30
% Table:              Tabla 10 - Valor propio 1
% a (nm)                                          lambda                                            Energía propia (eV)                               Probabilidad total (1)
6                                                 0.07161932691428675                               0.07161932691428675                               1
6                                                 0.07932082779441696                               0.07932082779441696                               0.9999999999999999
6                                                 0.07932082954485684                               0.07932082954485684                               0.9999999999999969
6                                                 0.08455277269487779                               0.0845527726948778                                1.0000000000000002
6                                                 0.08571755415654143                               0.08571755415654145                               1.000000000000001
6                                                 0.08571755488318014                               0.08571755488318014                               1.0000000000000018
6                                                 0.0890829466311022                                0.0890829466311022                                1.0000000000000013
6                                                 0.08908939690304638                               0.08908939690304638                               0.9999999999999993
6                                                 0.09481066018516195                               0.09481066018516196                               0.9999999999999994
6                                                 0.094810660769745                                 0.094810660769745                                 0.999999999999999
6                                                 0.09932396878564466                               0.09932396878564466                               1
6                                                 0.10279140142555153                               0.10279140142555153                               0.9999999999999999
6                                                 0.10279140591155064                               0.10279140591155064                               0.9999999999999997
6                                                 0.10393403681143625                               0.10393403681143626                               1.0000000000000004
6                                                 0.11302413783895755                               0.11302413783895755                               1.0000000000000016
6                                                 0.11302413845801569                               0.11302413845801569                               1.000000000000001
6                                                 0.12549193726697286                               0.12549193726697286                               0.999999999999998
6                                                 0.1254919389849588                                0.1254919389849588                                1.000000000000002
6                                                 0.1364571298595218                                0.1364571298595218                                1.0000000000000022
6                                                 0.13645713250589248                               0.13645713250589248                               1.0000000000000004
6                                                 0.14017375035441434                               0.14017375035441434                               1.0000000000000016
6                                                 0.1401737509693674                                0.1401737509693674                                0.9999999999999988
6                                                 0.15704522507548457                               0.1570452250754846                                0.9999999999999994
6                                                 0.15704522699570167                               0.15704522699570167                               0.999999999999999
6                                                 0.17607894256907608                               0.17607894256907608                               1.000000000000001
6                                                 0.17607894393830148                               0.17607894393830148                               0.9999999999999993
6                                                 0.18175769846612366                               0.18175769846612366                               1.0000000000000007
6                                                 0.18187347934663528                               0.18187347934663528                               0.9999999999999973
6                                                 0.19724441195696457                               0.19724441195696457                               1.0000000000000018
6                                                 0.1972444133576093                                0.19724441335760934                               1.0000000000000013
6.25                                              0.076136737370778                                 0.076136737370778                                 0.9999999999999992
6.25                                              0.08347184509719119                               0.0834718450971912                                0.999999999999998
6.25                                              0.08347184609167255                               0.08347184609167256                               1.0000000000000018
