% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 28 2026, 12:28
% Table:              Tabla 10 - Valor propio 1
% a (nm)                                          lambda                                            Energía propia (eV)                               Probabilidad total (1)
6                                                 0.05133900919378212                               0.05133900919378212                               1.0000000000000016
6                                                 0.061281454697278866                              0.061281454697278866                              0.9999999999999983
6                                                 0.06128154167805807                               0.06128154167805808                               0.9999999999999988
6                                                 0.08453669835789084                               0.08453669835789084                               0.9999999999999998
6                                                 0.08568342693573115                               0.08568342693573115                               0.9999999999999997
6                                                 0.08568342764696879                               0.08568342764696879                               0.9999999999999982
6                                                 0.08599737304956592                               0.08599737304956592                               1.0000000000000004
6                                                 0.08894991499195191                               0.08894991499195193                               1.0000000000000027
6                                                 0.08916788531198297                               0.08916788531198297                               1.0000000000000002
6                                                 0.09044155633423491                               0.09044155633423491                               1.0000000000000013
6                                                 0.09480986442075545                               0.09480986442075545                               1.000000000000001
6                                                 0.09480986500817606                               0.09480986500817608                               0.9999999999999989
6                                                 0.10279134034269947                               0.10279134034269949                               1.0000000000000013
6                                                 0.10279134513051022                               0.10279134513051022                               0.9999999999999997
6                                                 0.11302413086421606                               0.11302413086421607                               1.0000000000000013
6                                                 0.1130241314832142                                0.11302413148321422                               0.9999999999999991
6                                                 0.1254919362928121                                0.1254919362928121                                0.9999999999999999
6                                                 0.12549193808707695                               0.12549193808707695                               1.0000000000000004
6                                                 0.12781971181563126                               0.12781971181563126                               0.9999999999999998
6                                                 0.12781974641329397                               0.12781974641329397                               1.0000000000000027
6                                                 0.14017375020100037                               0.14017375020100037                               0.9999999999999988
6                                                 0.14017375081591105                               0.14017375081591107                               1.0000000000000007
6                                                 0.1570452250562804                                0.1570452250562804                                1.0000000000000004
6                                                 0.15704522697671652                               0.15704522697671652                               1.0000000000000018
6                                                 0.1760789425661533                                0.17607894256615333                               1.000000000000001
6                                                 0.17607894393537804                               0.17607894393537804                               1.000000000000003
6                                                 0.1766800735647987                                0.1766800735647987                                0.9999999999999981
6                                                 0.17678471457005385                               0.17678471457005385                               1.0000000000000013
6                                                 0.19041633238861488                               0.19041633238861488                               0.9999999999999987
6                                                 0.19724441195660125                               0.19724441195660125                               0.9999999999999998
6.25                                              0.0535874109294054                                0.0535874109294054                                0.9999999999999993
6.25                                              0.06315992311054938                               0.06315992311054938                               1
6.25                                              0.06318514972678702                               0.06318514972678702                               0.9999999999999992
6.25                                              0.08453756217171651                               0.08453756217171651                               1.0000000000000013
6.25                                              0.08568452666646051                               0.08568452666646051                               0.9999999999999993
6.25                                              0.08568454073372127                               0.08568454073372127                               0.999999999999999
6.25                                              0.08684793646963633                               0.08684793646963633                               1.0000000000000016
6.25                                              0.08903219864598975                               0.08903219864598975                               0.9999999999999999
6.25                                              0.0891928107180395                                0.08919281071803951                               1.0000000000000009
6.25                                              0.09200513757889792                               0.09200513757889793                               0.999999999999998
6.25                                              0.09480993967996279                               0.0948099396799628                                0.9999999999999986
6.25                                              0.09480994191081454                               0.09480994191081456                               1.0000000000000004
6.25                                              0.10279134282155658                               0.10279134282155658                               0.9999999999999996
6.25                                              0.10279135040012653                               0.10279135040012653                               0.9999999999999999
6.25                                              0.11302413119908952                               0.11302413119908952                               1.0000000000000004
6.25                                              0.11302413181344892                               0.11302413181344893                               1.0000000000000009
6.25                                              0.12549193631552566                               0.12549193631552566                               1.0000000000000007
6.25                                              0.12549193814127932                               0.12549193814127932                               1.0000000000000007
6.25                                              0.12850809320733889                               0.12850809320733889                               0.9999999999999987
6.25                                              0.12852191443215935                               0.12852191443215935                               1.0000000000000018
6.25                                              0.14017375020591966                               0.14017375020591966                               1.0000000000000016
6.25                                              0.1401737508207346                                0.1401737508207346                                0.9999999999999999
6.25                                              0.15704522505667304                               0.15704522505667304                               0.9999999999999986
6.25                                              0.15704522697741152                               0.15704522697741152                               0.999999999999999
6.25                                              0.17607894256622567                               0.17607894256622567                               1.0000000000000002
6.25                                              0.17607894393545226                               0.17607894393545226                               1.0000000000000013
6.25                                              0.1770136210087938                                0.17701362100879384                               0.9999999999999999
6.25                                              0.1771228404579906                                0.1771228404579906                                1.0000000000000004
6.25                                              0.19630236319305663                               0.19630236319305663                               1.0000000000000002
6.25                                              0.19724441195661416                               0.19724441195661419                               0.9999999999999992
6.499999999999999                                 0.055935501138540955                              0.05593550113854096                               1.000000000000003
6.499999999999999                                 0.06517158333856884                               0.06517158333856884                               0.9999999999999978
6.499999999999999                                 0.065196979618277                                 0.065196979618277                                 0.9999999999999953
6.499999999999999                                 0.08453855829695672                               0.08453855829695674                               0.9999999999999999
6.499999999999999                                 0.08568588278581003                               0.08568588278581003                               1.000000000000002
6.499999999999999                                 0.08568589933140211                               0.08568589933140211                               1.0000000000000004
6.499999999999999                                 0.08777482909194008                               0.08777482909194008                               1.0000000000000013
6.499999999999999                                 0.0890592492021368                                0.0890592492021368                                1.0000000000000002
6.499999999999999                                 0.08925621541805802                               0.08925621541805802                               0.9999999999999998
6.499999999999999                                 0.09380416075460679                               0.09380416075460679                               1.0000000000000029
6.499999999999999                                 0.09481002949067205                               0.09481002949067206                               0.9999999999999989
6.499999999999999                                 0.09481003197190077                               0.09481003197190077                               1.0000000000000009
6.499999999999999                                 0.10279134613867907                               0.10279134613867907                               0.9999999999999998
6.499999999999999                                 0.10279135739445452                               0.10279135739445452                               1.0000000000000016
6.499999999999999                                 0.11302413168129115                               0.11302413168129115                               1.0000000000000002
6.499999999999999                                 0.11302413229387247                               0.11302413229387247                               0.9999999999999992
6.499999999999999                                 0.12549193635132977                               0.12549193635132977                               0.9999999999999996
6.499999999999999                                 0.12549193822732221                               0.12549193822732221                               0.9999999999999999
6.499999999999999                                 0.12933807336850897                               0.129338073368509                                 0.9999999999999999
6.499999999999999                                 0.1293538740501962                                0.1293538740501962                                1.0000000000000002
6.499999999999999                                 0.14017375021443484                               0.14017375021443484                               1
6.499999999999999                                 0.14017375082915795                               0.14017375082915795                               1
6.499999999999999                                 0.15704522505738552                               0.15704522505738552                               1.0000000000000004
6.499999999999999                                 0.1570452269786444                                0.1570452269786444                                0.9999999999999999
6.499999999999999                                 0.17607894256635104                               0.17607894256635107                               0.9999999999999996
6.499999999999999                                 0.17607894393560142                               0.17607894393560145                               0.9999999999999999
6.499999999999999                                 0.177310917258152                                 0.177310917258152                                 0.9999999999999998
6.499999999999999                                 0.17764208742656892                               0.17764208742656892                               1.0000000000000002
6.499999999999999                                 0.19724441195663367                               0.19724441195663367                               0.9999999999999991
6.499999999999999                                 0.1972444133572102                                0.1972444133572102                                1.0000000000000016
6.749999999999999                                 0.05839130711471075                               0.05839130711471076                               0.9999999999999992
6.749999999999999                                 0.06732169428143407                               0.06732169428143407                               1.0000000000000024
6.749999999999999                                 0.0673217885671135                                0.06732178856711352                               0.9999999999999981
6.749999999999999                                 0.08453973802929528                               0.08453973802929528                               1.0000000000000018
6.749999999999999                                 0.08568760950931813                               0.08568760950931813                               1.0000000000000002
6.749999999999999                                 0.0856876102156895                                0.0856876102156895                                0.9999999999999999
6.749999999999999                                 0.08861858093839924                               0.08861858093839924                               0.9999999999999994
6.749999999999999                                 0.08907235199465995                               0.08907235199465995                               1.0000000000000009
6.749999999999999                                 0.08952488923751556                               0.08952488923751556                               1.0000000000000024
6.749999999999999                                 0.09481013517089285                               0.09481013517089285                               1.0000000000000007
6.749999999999999                                 0.09481013576084998                               0.09481013576084998                               1.0000000000000007
6.749999999999999                                 0.09580637919345346                               0.09580637919345346                               1.0000000000000009
6.749999999999999                                 0.10279135050725931                               0.10279135050725931                               1.0000000000000007
6.749999999999999                                 0.10279136651177531                               0.10279136651177531                               1
6.749999999999999                                 0.11302413236112449                               0.1130241323611245                                1.0000000000000002
6.749999999999999                                 0.11302413298013697                               0.11302413298013698                               1.0000000000000007
6.749999999999999                                 0.1254919364067244                                0.1254919364067244                                0.9999999999999996
6.749999999999999                                 0.12549193836089378                               0.12549193836089378                               1.0000000000000022
6.749999999999999                                 0.13032739253219003                               0.13032739253219003                               1.000000000000001
6.749999999999999                                 0.13032745117226574                               0.13032745117226574                               0.999999999999998
6.749999999999999                                 0.14017375022876383                               0.14017375022876383                               1.0000000000000004
6.749999999999999                                 0.14017375084370332                               0.14017375084370332                               0.999999999999999
6.749999999999999                                 0.1570452250585575                                0.1570452250585575                                0.9999999999999993
6.749999999999999                                 0.1570452269807864                                0.1570452269807864                                1.0000000000000016
6.749999999999999                                 0.17607894256663975                               0.17607894256663975                               0.9999999999999988
6.749999999999999                                 0.17607894393587675                               0.17607894393587675                               0.9999999999999997
6.749999999999999                                 0.17769060447044643                               0.17769060447044646                               1.0000000000000007
6.749999999999999                                 0.1782735953925103                                0.1782735953925103                                1.0000000000000009
6.749999999999999                                 0.19724441195669457                               0.19724441195669457                               1.0000000000000027
6.749999999999999                                 0.19724441335725257                               0.19724441335725257                               0.9999999999999993
7                                                 0.06100590786615009                               0.06100590786615009                               1.0000000000000007
7                                                 0.06961567545730979                               0.06961567545730979                               1.0000000000000033
7                                                 0.06964228270077169                               0.06964228270077169                               1.000000000000001
7                                                 0.0845412024914771                                0.0845412024914771                                0.9999999999999993
7                                                 0.08568990264939559                               0.0856899026493956                                1.0000000000000007
7                                                 0.08568992965212176                               0.08568992965212176                               1.0000000000000007
7                                                 0.08894917695261473                               0.08894917695261473                               1
7                                                 0.0890802197666166                                0.08908021976661662                               1.0000000000000018
7                                                 0.09043640395579353                               0.09043640395579353                               1.000000000000003
7                                                 0.09481025825912362                               0.09481025825912363                               1.0000000000000013
7                                                 0.09481026139905793                               0.09481026139905793                               0.9999999999999998
7                                                 0.09808537142414427                               0.09808537142414427                               1.000000000000001
7                                                 0.10279135619206384                               0.10279135619206384                               0.9999999999999998
7                                                 0.10279137890977313                               0.10279137890977313                               0.9999999999999982
7                                                 0.11302413337047343                               0.11302413337047343                               0.9999999999999992
7                                                 0.11302413397782252                               0.11302413397782252                               0.9999999999999999
7                                                 0.12549193649419216                               0.12549193649419216                               1.0000000000000004
7                                                 0.1254919385857591                                0.1254919385857591                                1.000000000000002
7                                                 0.13149491984679587                               0.13149491984679587                               1.0000000000000004
7                                                 0.13151587751188987                               0.13151587751188987                               0.9999999999999999
7                                                 0.14017375025634268                               0.14017375025634268                               0.9999999999999992
7                                                 0.1401737508707037                                0.1401737508707037                                1.0000000000000007
7                                                 0.15704522506084037                               0.15704522506084037                               1
7                                                 0.15704522698473478                               0.1570452269847348                                1.000000000000001
7                                                 0.17607894256716813                               0.17607894256716813                               1
7                                                 0.1760789439364058                                0.1760789439364058                                1.0000000000000022
7                                                 0.1781687531379641                                0.1781687531379641                                0.999999999999999
7                                                 0.17907619727389001                               0.17907619727389001                               0.9999999999999979
7                                                 0.19724441195678588                               0.19724441195678588                               0.9999999999999992
7                                                 0.1972444133572882                                0.19724441335728823                               0.9999999999999988
7.249999999999999                                 0.06374383750855633                               0.06374383750855633                               0.999999999999999
7.249999999999999                                 0.07205884065145066                               0.07205884065145066                               1.0000000000000013
7.249999999999999                                 0.07208530707931725                               0.07208530707931725                               0.9999999999999983
7.249999999999999                                 0.08454306514857904                               0.08454306514857904                               0.9999999999999989
7.249999999999999                                 0.08569312156936405                               0.08569312156936405                               1.0000000000000009
7.249999999999999                                 0.08569315842715494                               0.08569315842715494                               1.0000000000000016
7.249999999999999                                 0.0890250062401471                                0.0890250062401471                                1.0000000000000002
7.249999999999999                                 0.08908530518178684                               0.08908530518178684                               0.9999999999999996
7.249999999999999                                 0.09173985726044276                               0.09173985726044276                               1.0000000000000007
7.249999999999999                                 0.09481040013773026                               0.09481040013773026                               0.999999999999998
