% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 28 2026, 14:30
% Table:              Tabla 11 - Valor propio 2
% B (T)                                           lambda                                            Energía propia (eV)                               Probabilidad total (1)
0                                                 0.06100590786615023                               0.06100590786615023                               1.0000000000000004
0                                                 0.0696156754573097                                0.0696156754573097                                1.0000000000000013
0                                                 0.06964228270077177                               0.06964228270077177                               0.9999999999999966
0                                                 0.08454120249147704                               0.08454120249147704                               1.0000000000000002
0                                                 0.08568990264939562                               0.08568990264939562                               0.9999999999999996
0                                                 0.08568992965212167                               0.08568992965212169                               1
0                                                 0.0889491769526146                                0.08894917695261462                               1.0000000000000004
0                                                 0.08908021976661654                               0.08908021976661654                               1.0000000000000007
0                                                 0.09043640395579353                               0.09043640395579353                               1
0                                                 0.09481025825912362                               0.09481025825912363                               0.9999999999999998
0                                                 0.09481026139905795                               0.09481026139905796                               0.9999999999999974
0                                                 0.09808537142414411                               0.09808537142414411                               1.0000000000000016
0                                                 0.10279135619206389                               0.10279135619206389                               1.0000000000000027
0                                                 0.10279137890977295                               0.10279137890977297                               0.9999999999999998
0                                                 0.11302413337047318                               0.11302413337047319                               1.0000000000000007
0                                                 0.11302413397782211                               0.11302413397782211                               0.9999999999999991
0                                                 0.12549193649419244                               0.12549193649419244                               0.9999999999999999
0                                                 0.12549193858575888                               0.12549193858575888                               1.000000000000001
0                                                 0.13149491984679615                               0.13149491984679615                               0.9999999999999997
0                                                 0.13151587751188967                               0.13151587751188967                               1.0000000000000004
0                                                 0.1401737502563428                                0.1401737502563428                                0.9999999999999996
0                                                 0.1401737508707038                                0.1401737508707038                                0.9999999999999986
0                                                 0.15704522506084054                               0.15704522506084054                               1
0                                                 0.15704522698473472                               0.15704522698473472                               1.0000000000000002
0                                                 0.17607894256716822                               0.17607894256716822                               1
0                                                 0.176078943936406                                 0.176078943936406                                 0.999999999999999
0                                                 0.1781687531379643                                0.1781687531379643                                0.9999999999999996
0                                                 0.1790761972738899                                0.1790761972738899                                0.9999999999999998
0                                                 0.19724441195678621                               0.19724441195678621                               1.0000000000000002
0                                                 0.19724441335728854                               0.19724441335728857                               0.9999999999999997
0.1                                               0.061006170474571866                              0.061006170474571866                              0.9999999999999998
0.1                                               0.06954324015567928+2.0646135638139498E-17i       0.06954324015567928+2.0646135638139498E-17i       0.9999999999999987
0.1                                               0.06971524547235432-1.4335627824673733E-17i       0.06971524547235432-1.4335627824673733E-17i       1.0000000000000002
0.1                                               0.08454287303662449                               0.08454287303662449                               0.9999999999999998
0.1                                               0.08560519566250152                               0.08560519566250153                               0.9999999999999989
0.1                                               0.08577797764329005                               0.08577797764329005                               1.0000000000000002
0.1                                               0.08883705628790908                               0.0888370562879091                                1.0000000000000013
0.1                                               0.08919359981417682-1.1669599782184908E-17i       0.08919359981417682-1.1669599782184908E-17i       1.0000000000000009
0.1                                               0.09043493591359691                               0.09043493591359691                               0.9999999999999989
0.1                                               0.09455275433300607                               0.09455275433300607                               0.9999999999999998
0.1                                               0.09507111544017256                               0.09507111544017256                               0.9999999999999983
0.1                                               0.09808949517474136                               0.09808949517474136                               0.9999999999999979
0.1                                               0.10244747129353478                               0.10244747129353478                               0.9999999999999989
0.1                                               0.10313862131073062                               0.10313862131073064                               0.9999999999999987
0.1                                               0.11259384807839043                               0.11259384807839043                               0.9999999999999998
0.1                                               0.1134577856554707                                0.1134577856554707                                1.0000000000000004
0.1                                               0.12497526350050696                               0.12497526350050697                               0.9999999999999994
0.1                                               0.12601198860658383                               0.12601198860658383                               0.9999999999999999
0.1                                               0.13124870291009066                               0.13124870291009066                               1
0.1                                               0.13176271412354168                               0.13176271412354168                               0.9999999999999967
0.1                                               0.13957068897899086                               0.13957068897899086                               0.9999999999999972
0.1                                               0.14078020160345858                               0.14078020160345858                               1.0000000000000007
0.1                                               0.15635577779593252                               0.15635577779593252                               0.9999999999999984
0.1                                               0.15773807793848865                               0.15773807793848865                               0.9999999999999983
0.1                                               0.1753031093086126                                0.1753031093086126                                1.0000000000000004
0.1                                               0.17685819696712013                               0.17685819696712016                               1.0000000000000004
0.1                                               0.1780552887066465+1.990549700806099E-17i         0.17805528870664653+1.9905497008060993E-17i       0.999999999999998
0.1                                               0.179190238783762                                 0.17919023878376203                               1
0.1                                               0.19638219397066276-2.952318966646128E-16i        0.19638219397066276-2.952318966646128E-16i        0.9999999999999997
0.1                                               0.1981100691418099-2.920210836731339E-16i         0.1981100691418099-2.9202108367313395E-16i        1.000000000000001
0.2                                               0.061006958298425756                              0.06100695829842576                               0.9999999999999993
0.2                                               0.0694595793667826                                0.0694595793667826                                1.0000000000000004
0.2                                               0.06980048866205392                               0.06980048866205392                               0.9999999999999986
0.2                                               0.08454788466804691                               0.08454788466804691                               0.999999999999999
0.2                                               0.08552381617651318                               0.0855238161765132                                1.0000000000000009
0.2                                               0.08586938013542349                               0.0858693801354235                                0.9999999999999991
0.2                                               0.0886798764622568                                0.0886798764622568                                1.0000000000000009
0.2                                               0.08935406209121079                               0.08935406209121079                               0.9999999999999978
0.2                                               0.09043105007595198+1.0931049520997488E-17i       0.090431050075952+1.093104952099749E-17i          1.0000000000000002
0.2                                               0.09429859894836791                               0.09429859894836792                               1.0000000000000009
0.2                                               0.09533532116094239                               0.09533532116094239                               1.0000000000000009
0.2                                               0.09810184382419952                               0.09810184382419952                               1.0000000000000024
0.2                                               0.10210693253458016                               0.10210693253458017                               0.9999999999999973
0.2                                               0.10348923256837805                               0.10348923256837805                               0.9999999999999997
0.2                                               0.11216692886395138                               0.11216692886395138                               1.0000000000000007
0.2                                               0.11389480401803626                               0.11389480401803627                               0.999999999999998
0.2                                               0.12446196648388683                               0.12446196648388683                               1.0000000000000009
0.2                                               0.12653541669603563                               0.12653541669603563                               0.9999999999999998
0.2                                               0.13099294769731604                               0.13099294769731604                               1.0000000000000013
0.2                                               0.1320203283633224                                0.1320203283633224                                1.0000000000000004
0.2                                               0.13897101684554347                               0.13897101684554347                               1.0000000000000002
0.2                                               0.14139004209447154                               0.14139004209447154                               0.9999999999999987
0.2                                               0.15566973325354577                               0.15566973325354577                               0.9999999999999999
0.2                                               0.15843433353865646                               0.15843433353865646                               1.0000000000000004
0.2                                               0.1745306951331293                                0.1745306951331293                                1.0000000000000013
0.2                                               0.17764087045014534                               0.17764087045014534                               0.9999999999999998
0.2                                               0.17780477823243812-1.6359684242999995E-16i       0.17780477823243812-1.6359684242999995E-16i       0.9999999999999999
0.2                                               0.17944248039710253                               0.17944248039710256                               1
0.2                                               0.19552341307809054-6.710731235145584E-17i        0.19552341307809057-6.710731235145584E-17i        0.9999999999999996
0.2                                               0.19897916342039357-2.428816096369358E-15i        0.19897916342039357-2.428816096369358E-15i        1.0000000000000009
0.30000000000000004                               0.06100827133349959                               0.0610082713334996                                1.0000000000000027
0.30000000000000004                               0.06937610430484245+1.481187078132695E-17i        0.06937610430484245+1.481187078132695E-17i        1.0000000000000002
0.30000000000000004                               0.06988660102854917-1.538468171506019E-17i        0.06988660102854917-1.538468171506019E-17i        1.0000000000000004
0.30000000000000004                               0.08455623737370067                               0.08455623737370067                               1.0000000000000009
0.30000000000000004                               0.08544577768061762                               0.08544577768061762                               0.9999999999999987
0.30000000000000004                               0.08596412361933756                               0.08596412361933756                               0.9999999999999998
0.30000000000000004                               0.08852109628528158                               0.0885210962852816                                1.0000000000000004
