x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
33.6	-16.3734047	-8.540477902	-0.9542903299	6.381748651	13.46232579	20.27975311	26.82319621	33.07761105	38.66221785	39.02139127	44.0594887	44.62718496	49.80075105	52.18714116	53.69436399	54.72255511	58.04229053	58.38161968	60.10703066	63.8905026
33.8	-17.02658008	-9.208496899	-1.636634554	5.686019181	12.75458732	19.56184558	26.09749216	32.34711898	38.28925357	38.66066777	42.0716199	43.89958086	49.09009602	50.19542821	53.68730366	54.01317631	57.44409458	58.10251321	58.3770306	63.15001199
34	-17.66362297	-9.860417452	-2.302958697	5.006196477	12.06260971	18.85952326	25.3871584	31.63173605	37.57298394	38.65215258	40.15061643	43.18636083	48.26018222	48.39245958	53.31625762	53.68681462	56.1592092	56.85278957	58.37589329	62.4278019
34.2	-18.28530469	-10.49701201	-2.95403451	4.341508247	11.38562405	18.17201853	24.69143545	30.93070866	36.87051503	38.21759112	38.71448512	42.48678576	46.38275916	47.70720421	52.63476759	53.68532489	54.27470294	56.27010442	58.37530349	61.72294993
34.4	-18.89236817	-11.11902403	-3.59060834	3.691207828	10.72288124	17.49858537	24.00957604	30.2432938	36.18129626	36.4414831	38.67611645	41.80012017	44.5612841	47.03368967	51.9656807	52.44654492	53.68440083	55.69530512	58.37489645	60.09088344
34.6	-19.48549179	-11.72713417	-4.213361055	3.054615519	10.07370635	16.8385518	23.34091813	29.56883868	34.6852116	35.50471386	38.67175424	41.12573295	42.79360444	46.3713727	50.67240024	51.30857899	53.68345887	55.12757489	58.31228635	58.37456119
34.8	-20.06533951	-12.32200789	-4.822958715	2.431064459	9.437432566	16.19125378	22.68480009	28.90668604	32.97792967	34.84011796	38.67002841	40.46297947	41.07756333	45.71968677	48.95005326	50.66277657	53.682004	54.56610416	56.58609036	58.37423967
35	-20.63254841	-12.90428537	-5.420044253	1.819910023	8.813416004	15.55604879	22.04058099	28.25619874	31.31946591	34.18688371	38.66905312	39.4111412	39.81123466	45.0780746	47.27744457	50.02758602	53.67754433	54.01015049	54.9126802	58.37387259
35.2	-21.18766222	-13.47450797	-6.005156328	1.220618795	8.201128315	14.93241724	21.40775288	27.61688183	29.70833597	33.54453106	37.7924369	38.66837289	39.17002531	44.44613744	45.65266361	49.40249104	53.25465986	53.45919527	53.70552422	58.37332647
35.4	-21.7312796	-14.03327781	-6.57890108	0.6325816759	7.599960593	14.3197494	20.78570566	26.98812651	28.142714	32.91245854	36.21946554	38.53875641	38.66780198	43.82333007	44.07373946	48.78683883	51.68699075	52.91265571	53.68895134	57.80981249
35.6	-22.263933	-14.58113049	-7.141815827	0.05526161818	7.009375306	13.71751095	20.17390915	26.36940902	26.62081562	32.29014898	34.69037558	37.91691609	38.6672013	42.53886566	43.20920092	48.18007306	50.14881416	52.37009574	53.68681482	57.20288221
35.8	-22.78609325	-15.11853543	-7.694364551	-0.5118012188	6.428921048	13.12525852	19.57193285	25.14110309	25.76030897	31.67719824	33.20360281	37.30411264	38.66630168	41.04672357	42.60340627	47.58177128	48.65178762	51.83124994	53.68587643	56.01613692
36	-23.29824408	-15.6459764	-8.237034718	-1.069094044	5.858111047	12.54250932	18.97929445	23.70192015	25.16035059	31.07313647	31.75746375	36.69988119	38.66343574	39.5972511	42.00552719	46.9914344	47.19504796	51.29581983	53.68527955	54.55527687
36.2	-23.8008755	-16.16394795	-8.77032295	-1.617114619	5.296448782	11.96876638	18.39550081	22.30161583	24.56904355	30.35029297	30.47747935	36.10374488	38.1715346	38.67583581	41.41512599	45.77711659	46.40855722	50.76353313	53.13321159	53.68480414
36.4	-24.29437765	-16.67283861	-9.294614377	-2.156242605	4.743560926	11.40366672	17.8201999	20.9387798	23.98604673	28.98067139	29.88990147	35.51539098	36.80198355	38.66966295	40.83193208	44.39665417	45.83281233	50.23430606	51.74857893	53.68434321
36.6	-24.77916614	-17.1730639	-9.81032549	-2.686892748	4.199034863	10.84680127	17.25298551	19.61201296	23.41096196	27.64719337	29.3100085	34.93443269	35.46348476	38.66860582	40.25559423	43.05226631	45.26379511	49.70799252	50.39997	53.68377243
36.8	-25.2556651	-17.66505281	-10.31788539	-3.209496559	3.662442655	10.29774433	16.6934341	18.31989992	22.84336794	26.34843049	28.73738741	34.15916643	34.36046374	38.66808805	39.68574203	41.74252524	44.70108576	49.08589054	49.18448574	53.68208932
37	-25.72420817	-18.14913524	-10.81762197	-3.724373892	3.133469486	9.756190601	16.14124402	17.06120806	22.28298065	25.08314778	28.17176628	32.88816678	33.79322561	38.66768135	39.12220294	40.46620475	44.14442364	47.80522559	48.66366925	53.22761386
37.2	-26.18516427	-18.62568285	-11.30990709	-4.231896796	2.611746414	9.221774151	15.59598347	15.83472394	21.72943859	23.85005554	27.61279361	31.6492772	33.23237288	38.56363727	38.66830641	39.22200136	43.59345978	46.55656024	48.14555658	52.69191202
37.4	-26.63886192	-19.09502287	-11.79506616	-4.732386466	2.096958247	8.694185094	14.63893499	15.05772198	21.18243805	22.64801936	27.06018097	30.44139359	32.67762988	38.00877058	38.01220722	38.66750918	43.04791962	45.33876578	47.63008961	52.16243973
37.6	-27.08565528	-19.5575123	-12.27345716	-5.226200514	1.588749058	8.173072158	13.47319847	14.52557499	20.64159799	21.47589111	26.51358451	29.26333847	32.12866103	36.82531219	37.46559828	38.66726961	42.50746783	44.15064682	47.11716995	51.22459088
37.8	-27.52581478	-20.01341904	-12.74534434	-5.713596691	1.08686999	7.658194243	12.33620494	13.99958815	20.10628345	20.33305051	25.97279014	28.11409382	31.58527084	35.67059518	36.92415149	38.66705935	41.97192349	42.99117029	46.60683704	50.06179049
38	-27.95964838	-20.46305321	-13.21103758	-6.194882185	0.5910157458	7.149250517	11.22690644	13.47943703	19.21614825	19.57846867	25.43749131	26.99259056	31.04717503	34.54352169	36.38762547	38.66682962	41.4410099	41.8592558	46.09901873	48.92598842
38.2	-28.38743948	-20.90669705	-13.6708181	-6.670334856	0.1009129767	6.645971989	10.1443373	12.96485292	18.12754631	19.05456181	24.90737712	25.89791633	30.51412326	33.44312348	35.85579374	38.66651033	40.75398015	40.91448666	45.5936639	47.81642372
38.4	-28.80944812	-21.34460984	-14.12494094	-7.140205094	-0.3836805852	6.14812336	9.087567817	12.45560852	17.06455526	18.53610059	24.3819188	24.82945695	29.98591388	32.36845983	35.32848362	38.66578095	39.67470828	40.39217818	45.09077157	46.73221139
38.6	-29.22593237	-21.77705089	-14.57366508	-7.604747151	-0.8630171155	5.655457499	8.055674159	11.95145971	16.02642722	18.02266137	23.77852016	23.86864003	29.46230632	31.31860544	34.80548264	38.60027185	38.68486433	39.87386746	44.59028422	45.67242553
38.8	-29.63714255	-22.2042692	-15.01723751	-8.064205536	-1.337336098	5.167737559	7.0477735	11.45217334	15.01229935	17.51398979	22.76316688	23.34835794	28.94305101	30.29269061	34.28658417	37.58566375	38.66785777	39.35934703	44.09213651	44.63616404
