% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 17:09
% Table:              Tabla 9 - Valor propio 2
% F (kV/cm)                                       lambda                                            Energía propia (eV)                               Probabilidad total (1)
-25.000000000000004                               0.027908955484646572                              0.027908955484646576                              0.9999999999999996
-25.000000000000004                               0.030856536074079913                              0.030856536074079913                              0.9999999999999997
-25.000000000000004                               0.04176189683405251                               0.04176189683405251                               0.9999999999999977
-25.000000000000004                               0.04553825684363879                               0.04553825684363879                               0.9999999999999988
-25.000000000000004                               0.052214020406675096                              0.052214020406675096                              0.9999999999999974
-25.000000000000004                               0.05239731346292181                               0.05239731346292181                               0.999999999999999
-25.000000000000004                               0.06267887547857157                               0.06267887547857157                               0.9999999999999996
-25.000000000000004                               0.07259414000135467                               0.07259414000135467                               0.9999999999999986
-25.000000000000004                               0.07695044687214506                               0.07695044687214506                               1.0000000000000009
-25.000000000000004                               0.07762052269477171                               0.07762052269477171                               1.0000000000000018
-25.000000000000004                               0.08214592979330654                               0.08214592979330654                               1.0000000000000004
-25.000000000000004                               0.09127477262873797                               0.09127477262873797                               0.9999999999999999
-25.000000000000004                               0.09994485805050309                               0.0999448580505031                                1.0000000000000009
-25.000000000000004                               0.1080735529721294                                0.1080735529721294                                1.0000000000000002
-25.000000000000004                               0.11558422258776588                               0.11558422258776588                               0.9999999999999998
-25.000000000000004                               0.1182847383349388                                0.1182847383349388                                1.0000000000000004
-25.000000000000004                               0.11848993797804581                               0.11848993797804583                               1
-25.000000000000004                               0.12155496001786605                               0.12155496001786605                               1.000000000000001
-25.000000000000004                               0.1280720778140966                                0.1280720778140966                                0.9999999999999996
-25.000000000000004                               0.12836329534760887                               0.12836329534760887                               0.9999999999999997
-25.000000000000004                               0.13982822097340553                               0.13982822097340553                               1.0000000000000004
-25.000000000000004                               0.1404804259594558                                0.1404804259594558                                1.000000000000002
-25.000000000000004                               0.15387143815450616                               0.15387143815450616                               0.9999999999999998
-25.000000000000004                               0.1553996138728227                                0.1553996138728227                                1.0000000000000016
-25.000000000000004                               0.15558459777707037                               0.15558459777707037                               0.9999999999999999
-25.000000000000004                               0.16823727912839348                               0.16823727912839348                               1.0000000000000004
-25.000000000000004                               0.16849198690260442                               0.16849198690260442                               1.000000000000001
-25.000000000000004                               0.17350129134511172                               0.17350129134511175                               0.999999999999998
-25.000000000000004                               0.1735789391575449                                0.1735789391575449                                1.0000000000000007
-25.000000000000004                               0.17556722491496454                               0.17556722491496454                               0.9999999999999973
-24.8                                             0.028027976749282202                              0.028027976749282202                              0.9999999999999987
-24.8                                             0.03128291198310651                               0.03128291198310651                               1.0000000000000024
-24.8                                             0.04214392049187927                               0.04214392049187927                               1.0000000000000016
-24.8                                             0.04558930680429756                               0.04558930680429757                               1.0000000000000007
-24.8                                             0.05214810926436788                               0.05214810926436788                               0.9999999999999986
-24.8                                             0.05273306096337582                               0.05273306096337583                               0.9999999999999984
-24.8                                             0.0629704629819216                                0.0629704629819216                                0.9999999999999986
-24.8                                             0.07283892456113739                               0.07283892456113739                               1.0000000000000013
-24.8                                             0.07693934717251781                               0.07693934717251781                               1.0000000000000007
-24.8                                             0.07761581150038968                               0.07761581150038968                               1.0000000000000024
-24.8                                             0.08234407046209008                               0.08234407046209008                               0.9999999999999988
-24.8                                             0.09142467318325798                               0.09142467318325798                               1.0000000000000009
-24.8                                             0.10004461863210809                               0.1000446186321081                                0.9999999999999991
-24.8                                             0.10811856637531882                               0.10811856637531882                               1.0000000000000004
-24.8                                             0.1155704462680576                                0.11557044626805761                               0.9999999999999999
-24.8                                             0.11828071220003565                               0.11828071220003566                               1
-24.8                                             0.1184914025393594                                0.11849140253935941                               1.0000000000000007
-24.8                                             0.12139856100398771                               0.12139856100398771                               1.0000000000000024
-24.8                                             0.12782992294556356                               0.12782992294556356                               1.0000000000000004
-24.8                                             0.12823696377041502                               0.12823696377041502                               1.0000000000000004
-24.8                                             0.13972860447705937                               0.13972860447705937                               0.9999999999999981
-24.8                                             0.1403595788983297                                0.1403595788983297                                0.9999999999999994
-24.8                                             0.15396551341788045                               0.15396551341788045                               1.0000000000000009
-24.8                                             0.15532322867573573                               0.15532322867573573                               0.9999999999999997
-24.8                                             0.15550312524430882                               0.15550312524430884                               0.9999999999999986
-24.8                                             0.1682397156918726                                0.1682397156918726                                0.9999999999999994
-24.8                                             0.168492705614543                                 0.168492705614543                                 0.9999999999999994
-24.8                                             0.17344220951057587                               0.17344220951057587                               0.9999999999999999
-24.8                                             0.17351850253310877                               0.17351850253310877                               0.999999999999999
-24.8                                             0.17628276749494415                               0.17628276749494415                               0.9999999999999966
-24.6                                             0.02814626027761058                               0.02814626027761058                               1.000000000000002
-24.6                                             0.03170959442496597                               0.03170959442496597                               1.0000000000000002
-24.6                                             0.042525390296455516                              0.042525390296455516                              1.0000000000000009
-24.6                                             0.04564021811062118                               0.04564021811062118                               1.0000000000000016
-24.6                                             0.0520804316802263                                0.0520804316802263                                0.9999999999999991
-24.6                                             0.05306976868244082                               0.05306976868244082                               0.9999999999999999
-24.6                                             0.06326136121543581                               0.06326136121543581                               1.0000000000000002
-24.6                                             0.07308276189222354                               0.07308276189222354                               1.0000000000000029
-24.6                                             0.07692824764106385                               0.07692824764106385                               1
-24.6                                             0.07761133072697897                               0.07761133072697898                               0.9999999999999982
-24.6                                             0.08254109269413266                               0.08254109269413266                               1.0000000000000013
-24.6                                             0.09157319671410435                               0.09157319671410435                               1.000000000000001
-24.6                                             0.10014269163219978                               0.10014269163219978                               0.9999999999999981
-24.6                                             0.1081613362998705                                0.10816133629987051                               1.0000000000000004
-24.6                                             0.1155540128214804                                0.1155540128214804                                0.9999999999999998
-24.6                                             0.11827659093188582                               0.11827659093188583                               0.9999999999999996
-24.6                                             0.11849286356959834                               0.11849286356959836                               1.0000000000000007
-24.6                                             0.121232852517671                                 0.12123285251767102                               0.9999999999999999
-24.6                                             0.12759482846203182                               0.12759482846203182                               1.0000000000000009
-24.6                                             0.12810911126351718                               0.12810911126351718                               0.9999999999999997
-24.6                                             0.13963012037411665                               0.13963012037411668                               1.0000000000000022
-24.6                                             0.1402401252937026                                0.1402401252937026                                1.0000000000000002
-24.6                                             0.15405908329616394                               0.15405908329616397                               0.9999999999999981
-24.6                                             0.15524758377928186                               0.15524758377928186                               0.9999999999999994
-24.6                                             0.15542257483150893                               0.15542257483150895                               1.0000000000000013
-24.6                                             0.1682421866860982                                0.16824218668609822                               1.0000000000000016
-24.6                                             0.16849340382464864                               0.16849340382464867                               0.9999999999999994
-24.6                                             0.1733836984424151                                0.17338369844241514                               0.9999999999999993
-24.6                                             0.17345866899667098                               0.17345866899667098                               1
-24.6                                             0.17699791607804782                               0.17699791607804782                               0.9999999999999988
-24.400000000000002                               0.028263899638688528                              0.028263899638688528                              1.0000000000000004
-24.400000000000002                               0.0321364831582788                                0.0321364831582788                                1.0000000000000013
-24.400000000000002                               0.04290621153955109                               0.04290621153955109                               0.9999999999999987
