% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 10 2026, 18:47
% Table:              Tabla 3 - Valor propio 4
% R_1 (nm)                                        lambda                                            Energía propia (meV)                              Probabilidad total (1)
7                                                 0.017164379447225445                              17.164379447225443                                0.9999999999999994
7                                                 0.017950366905535323                              17.95036690553532                                 1.0000000000000002
7                                                 0.017950367694703387                              17.950367694703385                                1.0000000000000016
7                                                 0.02029949598801807                               20.29949598801807                                 0.9999999999999982
7                                                 0.020299497165176705                              20.299497165176703                                1.0000000000000002
7                                                 0.024185734138062853                              24.185734138062852                                1.0000000000000018
7                                                 0.024185734610592632                              24.18573461059263                                 1.000000000000001
7                                                 0.029567297426342953                              29.567297426342954                                1.0000000000000009
7                                                 0.02956729879073186                               29.567298790731858                                1.000000000000002
7                                                 0.036389164444290176                              36.389164444290174                                0.9999999999999993
7                                                 0.036389164989012485                              36.38916498901248                                 1
7                                                 0.04458665835144211                               44.58665835144211                                 0.9999999999999999
7                                                 0.04458665926231904                               44.58665926231904                                 1.0000000000000009
7                                                 0.054089935986956654                              54.089935986956654                                1.0000000000000009
7                                                 0.05408993646930327                               54.08993646930326                                 1
7                                                 0.06482888001462642                               64.8288800146264                                  0.9999999999999996
7                                                 0.06482888079522067                               64.82888079522067                                 0.9999999999999998
7                                                 0.06837134624961205                               68.37134624961205                                 1.0000000000000004
7                                                 0.06920209333649652                               69.20209333649652                                 1.000000000000001
7                                                 0.06920209514962068                               69.20209514962067                                 1.0000000000000027
7                                                 0.07169518324642844                               71.69518324642844                                 1.0000000000000013
7                                                 0.0716951871911098                                71.6951871911098                                  0.9999999999999993
7                                                 0.07585285993273862                               75.85285993273861                                 0.9999999999999993
7                                                 0.07585286303210381                               75.85286303210381                                 1.0000000000000022
7                                                 0.07673767429738032                               76.73767429738031                                 1.0000000000000024
7.099999999999999                                 0.01716437964443282                               17.164379644432817                                1
7.099999999999999                                 0.01795036720879259                               17.95036720879259                                 1.000000000000002
7.099999999999999                                 0.017950367795788874                              17.95036779578887                                 0.9999999999999978
7.099999999999999                                 0.020299496072367113                              20.299496072367113                                1.000000000000001
7.099999999999999                                 0.020299497500258917                              20.299497500258916                                0.999999999999999
7.099999999999999                                 0.024185734471392953                              24.18573447139295                                 1.0000000000000002
7.099999999999999                                 0.024185734704743223                              24.18573470474322                                 1.0000000000000013
7.099999999999999                                 0.029567297682123794                              29.56729768212379                                 1.0000000000000004
7.099999999999999                                 0.02956729896192098                               29.567298961920976                                0.9999999999999988
7.099999999999999                                 0.03638916467116443                               36.38916467116442                                 1.000000000000002
7.099999999999999                                 0.03638916518061368                               36.389165180613674                                0.9999999999999982
7.099999999999999                                 0.04458665855937264                               44.58665855937264                                 0.9999999999999979
7.099999999999999                                 0.044586659456344165                              44.586659456344165                                1.0000000000000004
7.099999999999999                                 0.05408993621522321                               54.089936215223204                                0.9999999999999992
7.099999999999999                                 0.05408993661815816                               54.089936618158156                                0.9999999999999987
7.099999999999999                                 0.06482888017068197                               64.82888017068197                                 1.000000000000001
7.099999999999999                                 0.06482888098349826                               64.82888098349825                                 1.0000000000000004
7.099999999999999                                 0.06837134582080322                               68.3713458208032                                  0.9999999999999999
7.099999999999999                                 0.06920209395200214                               69.20209395200213                                 0.9999999999999986
7.099999999999999                                 0.06920209435380129                               69.20209435380129                                 1.000000000000001
7.099999999999999                                 0.07169518345200304                               71.69518345200304                                 0.9999999999999989
7.099999999999999                                 0.07169518754389655                               71.69518754389654                                 1.0000000000000013
7.099999999999999                                 0.07585286016700102                               75.85286016700101                                 0.9999999999999988
7.099999999999999                                 0.07585286376771216                               75.85286376771215                                 1.0000000000000004
7.099999999999999                                 0.07673767445560373                               76.73767445560372                                 1.000000000000003
7.2                                               0.017164379475516897                              17.164379475516895                                0.9999999999999984
7.2                                               0.017950367186568464                              17.950367186568464                                1.0000000000000027
7.2                                               0.017950367491958164                              17.95036749195816                                 0.9999999999999986
7.2                                               0.020299495927333905                              20.299495927333904                                0.9999999999999998
7.2                                               0.020299497338343728                              20.299497338343727                                0.9999999999999994
7.2                                               0.024185734080973756                              24.185734080973752                                1.0000000000000013
7.2                                               0.02418573480252982                               24.185734802529815                                1
7.2                                               0.02956729743796213                               29.56729743796213                                 0.9999999999999989
7.2                                               0.029567298924034924                              29.567298924034922                                1.0000000000000004
7.2                                               0.03638916444199973                               36.389164441999725                                0.9999999999999983
7.2                                               0.03638916513859647                               36.38916513859647                                 1.000000000000002
7.2                                               0.044586658377571205                              44.5866583775712                                  0.9999999999999987
7.2                                               0.044586659381179235                              44.58665938117923                                 0.9999999999999984
7.2                                               0.05408993606565094                               54.08993606565094                                 1.0000000000000004
7.2                                               0.05408993652981156                               54.08993652981156                                 0.9999999999999972
7.2                                               0.06482888003973505                               64.82888003973504                                 0.9999999999999986
7.2                                               0.06482888090045477                               64.82888090045476                                 0.9999999999999986
7.2                                               0.06837134434324427                               68.37134434324426                                 1.0000000000000002
7.2                                               0.06920209238876847                               69.20209238876846                                 1.0000000000000007
7.2                                               0.06920209374107368                               69.20209374107368                                 1.0000000000000009
7.2                                               0.07169518248461021                               71.6951824846102                                  0.9999999999999968
7.2                                               0.07169518710841194                               71.69518710841193                                 0.9999999999999984
7.2                                               0.07585285980807428                               75.85285980807429                                 0.9999999999999998
7.2                                               0.07585286305089597                               75.85286305089598                                 0.9999999999999977
7.2                                               0.07673767436757321                               76.7376743675732                                  0.9999999999999983
7.299999999999999                                 0.017164379912602667                              17.164379912602666                                1.000000000000001
7.299999999999999                                 0.01795036761057074                               17.95036761057074                                 1.0000000000000029
7.299999999999999                                 0.01795036795518909                               17.950367955189087                                0.9999999999999996
7.299999999999999                                 0.02029949665427941                               20.299496654279405                                0.9999999999999979
7.299999999999999                                 0.020299497518238313                              20.29949751823831                                 1.0000000000000004
7.299999999999999                                 0.02418573483159528                               24.185734831595276                                1.0000000000000009
7.299999999999999                                 0.02418573496819955                               24.185734968199547                                0.9999999999999983
7.299999999999999                                 0.029567297802255324                              29.56729780225532                                 0.9999999999999997
7.299999999999999                                 0.02956729947200354                               29.567299472003533                                0.999999999999999
7.299999999999999                                 0.03638916486148823                               36.389164861488226                                1.0000000000000009
7.299999999999999                                 0.03638916561300937                               36.38916561300936                                 0.9999999999999999
7.299999999999999                                 0.04458665889023182                               44.58665889023182                                 0.999999999999999
7.299999999999999                                 0.04458665972823168                               44.58665972823167                                 1.0000000000000016
7.299999999999999                                 0.054089936488689656                              54.08993648868965                                 1.000000000000001
7.299999999999999                                 0.05408993691516228                               54.08993691516227                                 1
