% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 20:17
% Table:              Tabla 9 - Valor propio 2
% F (kV/cm)                                       lambda                                            Energía propia (eV)                               Probabilidad total (1)
0                                                 0.06100590786383298                               0.06100590786383299                               0.999999999999999
0                                                 0.06961567545025044                               0.06961567545025044                               1.0000000000000007
0                                                 0.06964228269392253                               0.06964228269392253                               1.0000000000000002
0                                                 0.08454118650380402                               0.08454118650380402                               0.9999999999999996
0                                                 0.08568988619311675                               0.08568988619311675                               1.0000000000000002
0                                                 0.08568991368661237                               0.08568991368661237                               1.000000000000002
0                                                 0.08894916278257509                               0.0889491627825751                                1
0                                                 0.08908020196850391                               0.08908020196850391                               1.000000000000001
0                                                 0.09043640216800666                               0.09043640216800668                               0.9999999999999998
0                                                 0.09481024050581502                               0.09481024050581502                               1.0000000000000009
0                                                 0.094810242904812                                 0.09481024290481202                               1
0                                                 0.09808537134581262                               0.09808537134581262                               1.000000000000001
0                                                 0.10279133553692273                               0.10279133553692274                               1.0000000000000009
0                                                 0.10279135964319504                               0.10279135964319504                               0.9999999999999993
0                                                 0.11302411103331511                               0.11302411103331511                               1.0000000000000004
0                                                 0.11302411119389386                               0.11302411119389386                               1.000000000000002
0                                                 0.12549191093782094                               0.12549191093782094                               0.9999999999999986
0                                                 0.1254919118097385                                0.12549191180973854                               1.0000000000000007
0                                                 0.1314949198311573                                0.1314949198311573                                0.9999999999999981
0                                                 0.13151587749569899                               0.131515877495699                                 0.9999999999999987
0                                                 0.1401737191663242                                0.1401737191663242                                0.999999999999998
0                                                 0.14017371964670022                               0.14017371964670025                               1.0000000000000016
0                                                 0.15704518754213098                               0.157045187542131                                 0.9999999999999982
0                                                 0.15704518822971605                               0.15704518822971605                               1.000000000000001
0                                                 0.17607889493074466                               0.17607889493074466                               1.0000000000000002
0                                                 0.1760788953945157                                0.17607889539451574                               1.0000000000000027
0                                                 0.17816875310990563                               0.17816875310990563                               1.0000000000000004
0                                                 0.17907619724490648                               0.17907619724490648                               0.9999999999999984
0                                                 0.19724435056739018                               0.19724435056739018                               1.0000000000000007
0                                                 0.19724435092137726                               0.19724435092137726                               1
1                                                 0.0609608712945239                                0.0609608712945239                                0.999999999999998
1                                                 0.06963139134252297                               0.06963139134252297                               0.9999999999999968
1                                                 0.06965395561384363                               0.06965395561384363                               1.0000000000000002
1                                                 0.083346941614844                                 0.08334694161484402                               1.0000000000000007
1                                                 0.08533840090952026                               0.08533840090952026                               0.9999999999999989
1                                                 0.08647942819843517                               0.08647942819843518                               0.9999999999999999
1                                                 0.08907811385968409                               0.08907811385968409                               0.9999999999999993
1                                                 0.089263294656861                                 0.089263294656861                                 1.0000000000000004
1                                                 0.09044093181532384                               0.09044093181532384                               0.9999999999999989
1                                                 0.09487106233857526                               0.09487106233857526                               1.0000000000000002
1                                                 0.09487521272526948                               0.09487521272526948                               0.9999999999999988
1                                                 0.09808545465004197                               0.09808545465004197                               1.0000000000000004
1                                                 0.1028260064090811                                0.1028260064090811                                0.999999999999999
1                                                 0.10282603152461799                               0.10282603152461799                               1.0000000000000004
1                                                 0.11304604675965146                               0.11304604675965146                               0.9999999999999977
1                                                 0.11304604795475237                               0.11304604795475237                               0.9999999999999998
1                                                 0.12550697942579242                               0.12550697942579242                               0.9999999999999998
1                                                 0.12550698020638762                               0.12550698020638762                               1.0000000000000013
1                                                 0.13149750484014977                               0.13149750484014977                               1.0000000000000013
1                                                 0.13151512756451297                               0.13151512756451297                               1.0000000000000004
1                                                 0.1401846654029508                                0.1401846654029508                                1.0000000000000013
1                                                 0.1401846658216095                                0.1401846658216095                                1.0000000000000002
1                                                 0.15705346462662587                               0.15705346462662587                               0.9999999999999983
1                                                 0.1570534652069424                                0.1570534652069424                                0.9999999999999986
1                                                 0.17608534244567525                               0.17608534244567525                               1.0000000000000007
1                                                 0.1760853427998904                                0.17608534279989044                               0.999999999999999
1                                                 0.17816917549779598                               0.178169175497796                                 1.000000000000002
1                                                 0.17907618649909218                               0.17907618649909218                               1.0000000000000004
1                                                 0.1972494857440174                                0.1972494857440174                                1.0000000000000009
1                                                 0.19724948630138245                               0.19724948630138248                               1.000000000000001
2                                                 0.06082816081788479                               0.060828160817884794                              1.0000000000000002
2                                                 0.06959876033745044                               0.06959876033745044                               0.9999999999999996
2                                                 0.0697663546323465                                0.0697663546323465                                1.0000000000000016
2                                                 0.08157198079149186                               0.08157198079149186                               1.0000000000000002
2                                                 0.08446009843773836                               0.08446009843773836                               1.0000000000000007
2                                                 0.0868505687080443                                0.0868505687080443                                1.000000000000001
2                                                 0.08929674914868657                               0.08929674914868657                               0.9999999999999997
