x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
12.2	5.798108299	7.563546117	7.564470922	11.78286311	11.78789375	17.5794839	17.57949052	21.3979071	24.65561052	24.65562102	25.08362941	25.09178847	32.82500578	32.86958882	32.86959013	32.89057018	42.14701814	42.14702028	42.19164579	42.19175638
12.4	6.713106601	8.243073037	8.243652578	12.13051386	12.13381553	17.72723238	17.72723685	23.98301266	24.71087756	24.71089165	27.63946117	27.64725197	32.88825698	32.88825782	34.7600111	34.81188483	42.15286173	42.1528639	43.36635536	43.36643225
12.6	7.326004837	8.715111952	8.715498021	12.39404422	12.39632519	17.85067046	17.8506735	24.7612883	24.76129008	26.24493118	29.76814104	29.77528679	32.90661433	32.90661569	36.2901573	36.33095406	42.15898885	42.15899131	43.9504064	44.31774871
12.8	7.775501052	9.073639971	9.073909158	12.60937254	12.61099613	17.95978522	17.95978732	24.8092265	24.80923233	28.19956824	31.54741082	31.55381047	32.92524081	32.92524204	37.54605622	37.57821916	42.16556144	42.16556441	44.24274107	45.12816088
13	8.130284382	9.365350501	9.365544437	12.79541452	12.79663286	18.06036068	18.06036205	24.85622389	24.85622832	29.89429733	32.94456165	32.94456262	33.05764624	33.0633074	38.61577735	38.64147575	42.17273428	42.17273584	44.45924863	45.84739281
13.2	8.427046891	9.615687216	9.61583065	12.96324706	12.96416561	18.15614333	18.15614436	24.90343612	24.90344195	31.37946172	32.96497936	32.96498071	34.36634598	34.37132557	39.55878185	39.57941399	42.18067381	42.18067575	44.61079407	46.50767474
13.4	8.686783979	9.839508191	9.839616035	13.1196441	13.12034595	18.24958489	18.24958578	24.95168379	24.95169187	32.69917006	32.98681276	32.986814	35.52581773	35.53019191	40.41482218	40.43151582	42.18953694	42.18953846	44.70946433	47.13008939
13.6	8.92230945	10.04608177	10.0461638	13.26906656	13.26960856	18.34242566	18.34242649	25.00162373	25.00162863	33.01035415	33.01035503	33.88934987	36.5755355	36.57938508	41.211385	41.22498972	42.19947617	42.19947782	44.76754445	47.72923306
13.8	9.141850095	10.24147314	10.24153762	13.41456422	13.41498914	18.43593531	18.43593592	25.05378122	25.05378358	33.03587176	33.03587315	34.97825253	37.54502732	37.54842828	41.96784961	41.9790169	42.21064551	42.21065134	44.79639241	48.31548711
14	9.350941932	10.42984463	10.42989416	13.55833186	13.5586633	18.53109673	18.53109848	25.10862049	25.10862229	33.06364163	33.06364258	35.98760558	38.4564613	38.45947824	42.22323323	42.22323738	42.69829458	42.70749791	44.80665999	48.89656166
14.2	9.553484681	10.61418423	10.61422251	13.70202022	13.70228051	18.62871935	18.62872055	25.16657167	25.16657407	33.09393984	33.09394108	36.93369122	39.32665953	39.32935127	42.23741885	42.23742344	43.41320768	43.42083325	44.80825614	49.47838209
14.4	9.752245296	10.79663342	10.79666324	13.84683858	13.8470448	18.72941342	18.72941555	25.22798641	25.22798889	33.12701952	33.12702025	37.82803114	40.16842491	40.17084336	42.25339534	42.25339693	44.1204074	44.12675572	44.80986272	50.06536027
14.6	9.949256976	10.97878433	10.97881186	13.99371702	13.99388379	18.83368212	18.83368294	25.29318097	25.29318249	33.16312488	33.16312555	38.6777178	40.99163682	40.99383349	42.2713475	42.27134953	44.81986897	44.82588643	44.8314942	50.66096675
14.8	10.14611225	11.16191996	11.16193953	14.143453	14.1435843	18.94199746	18.94199942	25.36248927	25.36249119	33.20253546	33.20253643	39.48532234	41.80417677	41.80617792	42.29150502	42.29150657	44.84946604	45.5345277	45.53899683	51.26816696
15	10.34403945	11.34703292	11.34704752	14.29668358	14.29678623	19.05476641	19.05476745	25.43622035	25.43622105	33.24552232	33.24552363	40.24784063	42.31409515	42.31409694	42.61226407	42.61410784	44.91107646	46.25018548	46.25394438	51.88936327
15.2	10.54399854	11.5349107	11.53492219	14.45392406	14.4540113	19.17233472	19.17233597	25.51465749	25.51465866	33.29235343	33.29235472	40.95495361	42.33935473	42.33935567	43.42090359	43.42262448	45.02297627	46.97596881	46.97916364	52.52652313
15.4	10.74675039	11.72618503	11.72619326	14.61560907	14.61568163	19.29500467	19.29500725	25.59806485	25.59806721	33.34328905	33.34328987	41.58762232	42.36752003	42.36752281	44.23413211	44.23575598	45.21034895	47.71443857	47.71715923	52.54677285
15.6	10.95290809	11.92136864	11.92137544	14.782101	14.78215394	19.42304467	19.4230467	25.686691	25.68669252	33.3985855	33.39858744	42.12023995	42.39884215	42.39884397	45.05522033	45.05677941	45.50302461	48.46771186	48.47001492	52.56306995
15.8	11.16311315	12.12102634	12.12103224	14.95383487	14.95387574	19.55681784	19.55681932	25.78087698	25.78087922	33.45858509	33.45858655	42.43363335	42.4336355	42.53353561	45.8872028	45.88872824	45.92560173	49.23794106	49.23990781	52.58162972
16	11.37779999	12.32553328	12.32553745	15.1310942	15.13112839	19.69655682	19.69655963	25.88086217	25.88086381	33.52354908	33.52355178	42.47216009	42.47216171	42.8283652	46.47989315	46.73231847	46.73384086	50.02668492	50.02837962	52.60268218
16.2	11.59739487	12.53526829	12.535271	15.31418619	15.31421814	19.84253088	19.84253599	25.98692164	25.98692324	33.5937805	33.593784	42.51472991	42.51473071	43.02693526	47.14635233	47.59250783	47.59406863	50.83546524	50.83694124	52.62650323
16.4	11.82222908	12.750525	12.75052752	15.50335407	15.50337738	19.99495661	19.99495799	26.09928521	26.09928737	33.66954462	33.66954586	42.56161847	42.56162036	43.15737527	47.89859214	48.46920723	48.47086342	51.66554432	51.66681624	52.65333971
16.6	12.05274646	12.97171772	12.97171997	15.69895832	15.69897709	20.15417048	20.15417234	26.21830462	26.21830614	33.75121209	33.75121331	42.61320097	42.61320377	43.24369599	48.71558365	49.36374358	49.36557987	52.51845408	52.51956351	52.6835283
16.8	12.28924971	13.19912512	13.19912694	15.9012435	15.90125752	20.32040522	20.32040683	26.34423163	26.34423244	33.83907537	33.83907668	42.66979207	42.66979402	43.30147048	49.58301089	50.27646965	50.2786265	52.71736507	52.71736762	53.39532237
17	12.53206837	13.43305638	13.43305965	16.11048716	16.11050286	20.49393224	20.49393364	26.47735816	26.47736135	33.93346809	33.93346902	42.73175232	42.73175431	43.34078213	50.4923486	51.20657743	51.20932772	52.75520517	52.75520797	54.29735665
17.2	12.78147749	13.67377353	13.67377465	16.32693283	16.32694186	20.67498492	20.67498509	26.61794741	26.61794816	34.03469213	34.03469296	42.79941241	42.79941563	43.36773721	51.43859818	52.1500557	52.15401811	52.79736815	52.79737151	55.18950866
17.4	13.03787485	13.92165796	13.92165846	16.55093509	16.55094355	20.86391504	20.86391767	26.76636677	26.76636797	34.14315094	34.14315355	42.87320136	42.87320401	43.38667943	52.41932387	52.84427113	52.84427451	53.09341289	53.10038514	55.23626034
17.6	13.30155214	14.17699086	14.17699105	16.78276024	16.78276947	21.06098845	21.06099047	26.92290418	26.92290558	34.25917451	34.25917622	42.95347886	42.95348137	43.40016946	52.896273	52.89627554	53.43315211	53.98224554	53.99902093	55.36504765
17.8	13.57283277	14.44008603	14.44008756	17.02271132	17.02271962	21.26650686	21.26650815	27.0878899	27.08789105	34.38313944	34.38314046	43.0406712	43.04067326	43.40975875	52.95382273	52.95382534	54.47970052	54.61288643	54.65676313	55.78077315
18	13.85201977	14.71123916	14.71124222	17.27107133	17.27107639	21.48075214	21.48075462	27.26162885	27.26163116	34.5153921	34.51539419	43.13516337	43.13516548	43.41653652	53.01731419	53.01731673	54.850598	54.91216869	55.55903351	56.61941051
18.2	14.13951642	14.99084798	14.99084902	17.52821985	17.52822726	21.70410765	21.70410886	27.44452161	27.44452229	34.65636668	34.65636822	43.23741999	43.23742159	43.42161669	53.08721505	53.08721734	54.92859301	54.99449561	56.67181125	57.6495574
18.4	14.43566186	15.27924343	15.27924412	17.79448647	17.79449385	21.93690059	21.93690181	27.63691989	27.63692191	34.80646409	34.80646557	43.34789731	43.34789824	43.42537493	53.16402058	53.16402264	54.96199343	55.02912065	57.8187891	58.75730012
18.6	14.74082644	15.5767901	15.5767927	18.07022521	18.07023427	22.17948795	22.17948983	27.83920158	27.83920528	34.96610049	34.96610143	43.42820715	43.46705275	43.46705605	53.24821316	53.24821562	54.97934126	55.04690823	59.00096762	59.91550305
18.8	15.05534869	15.88382456	15.88382596	18.3557659	18.35577202	22.43219953	22.43220006	28.05171799	28.05171982	35.13566573	35.13566726	43.43008619	43.5953294	43.59533215	53.34026861	53.3402712	54.98913221	55.05690449	60.21938775	61.11663577
19	15.3797158	16.20082744	16.20082817	18.65158029	18.65158366	22.69550619	22.69550796	28.27495491	28.27495725	35.31568193	35.31568431	43.43163464	43.73328564	43.73328636	53.44076477	53.4407671	54.99536191	55.06322967	61.47548801	62.3588559
19.2	15.71432116	16.52818828	16.52818964	18.95805083	18.95805585	22.96979691	22.96979877	28.50932185	28.50932293	35.50660005	35.50660157	43.43272363	43.88142812	43.88142953	53.55026939	53.55027189	54.99933811	55.06726515	62.77058791	63.64200481
19.4	16.05961025	16.86634908	16.86635192	19.27561551	19.27562163	23.25550723	23.25550909	28.75526946	28.75527136	35.70890661	35.70890801	43.43353308	44.04029104	44.04029254	53.66934933	53.66935226	55.00200337	55.0699632	64.106223	64.51841559
19.6	16.41600136	17.2157272	17.21572758	19.60468475	19.60468878	23.55304662	23.55304847	29.01322534	29.01322602	35.92306387	35.92306529	43.43407303	44.21038813	44.21039009	53.79857257	53.79857611	55.00375939	55.07173975	64.61239225	64.61239553
19.8	16.78407477	17.57689609	17.57689701	19.94582688	19.94583034	23.86298459	23.86298677	29.28376932	29.28377124	36.14968236	36.14968399	43.43453225	44.39236744	44.39236797	53.93861142	53.93861365	55.00505431	55.07303539	64.71571339	64.71571474
20	17.16430821	17.95033296	17.9503335	20.29951319	20.29951727	24.18579422	24.18579654	29.56739197	29.56739473	36.38928879	36.38929061	43.4348983	44.58681151	44.5868137	54.09011955	54.09012271	55.00598594	55.07399281	64.8291005	64.82910227
20.2	17.55723692	18.33656712	18.33657236	20.66626725	20.66627945	24.52200093	24.52200376	29.86463129	29.86463371	36.64245151	36.64245208	43.43521801	44.79433573	44.79433877	54.25376206	54.25376501	55.00672327	55.07471525	64.95325336	64.95325833
20.4	17.96343616	18.73617735	18.73617986	21.04666903	21.04667157	24.87217217	24.87217426	30.17606364	30.17606839	36.90977572	36.90977602	43.43539385	45.01558785	45.01558886	54.43022266	54.43022446	55.00718418	55.07516676	65.08887012	65.08887255
20.6	18.38355286	19.14980405	19.14980512	21.44134493	21.44134864	25.23694775	25.23694968	30.50234584	30.50234698	37.19194404	37.19194585	43.43549771	45.25129954	45.25130227	54.62030481	54.62030754	55.00747045	55.07547999	65.23683137	65.23683244
