B (T)	real(schr.Ei) (meV)
0	17.16400346784945
0	17.95002355730876
0	17.950023722512267
0	20.299190049556852
0	20.29919128391788
0	24.18544453838771
0	24.185444775952245
0	29.567002533765066
0	29.5670030863636
0	36.388840920109445
0	36.38884105908017
0	43.391574790616765
0	44.586279289328246
0	44.58628019869976
0	54.0894669258452
0	54.0894674582271
0	55.004938574488946
0	55.00523403229972
0	64.82827463403676
0	68.37137579261147
0.1	17.166519427392707
0.1	17.866150280817145
0.1	18.0389377984725
0.1	20.128936775643908
0.1	20.474511811199037
0.1	23.92881876688818
0.1	24.447181320331968
0.1	29.224012988155604
0.1	29.915163059499548
0.1	35.95949456737006
0.1	36.82343215660175
0.1	43.39179665576759
0.1	44.070583010278966
0.1	45.10730811732979
0.1	53.48742509936949
0.1	54.696937724237195
0.1	54.91903815944584
0.1	55.09160470235558
0.1	64.13989092945478
0.1	65.52219512260778
0.2	17.174067223552356
0.2	17.78731763878309
0.2	18.132892674093195
0.2	19.963750055702512
0.2	20.654900126809384
0.2	23.677303567702005
0.2	24.714028674589173
0.2	28.886193512831376
0.2	30.268493655519073
0.2	35.535392810427844
0.2	37.26326798889105
0.2	43.39246224993002
0.2	43.56021783882962
0.2	45.63366805293137
0.2	52.89081137635445
0.2	54.83346046485587
0.2	55.17859315199672
0.2	55.30983662612495
0.2	63.45703885562825
0.2	66.22165236093772
0.30000000000000004	17.186646608916096
0.30000000000000004	17.713525466577643
0.30000000000000004	18.231888019542286
0.30000000000000004	19.803630260255943
0.30000000000000004	20.84035536691478
0.30000000000000004	23.43089881425306
0.30000000000000004	24.985986474583637
0.30000000000000004	28.55354414126204
0.30000000000000004	30.62699435529266
0.30000000000000004	35.116535480263316
0.30000000000000004	37.708348247957424
0.30000000000000004	43.0551839977717
0.30000000000000004	43.39357156922192
0.30000000000000004	46.16535931892344
0.30000000000000004	52.2996257987603
0.30000000000000004	54.748352995539776
0.30000000000000004	55.26605187060851
0.30000000000000004	55.92816367309789
0.30000000000000004	62.779718591195234
0.30000000000000004	66.92667025705664
0.4	17.204257171149134
0.4	17.644773352168695
0.4	18.33592342278671
0.4	19.648576978227666
0.4	21.030877120438287
0.4	23.18960409762392
0.4	25.263054311397273
0.4	28.2260644687384
0.4	30.99066475411212
0.4	34.702922179370375
0.4	38.15867253629553
0.4	42.555481100612425
0.4	43.39512460718519
0.4	46.70238152881355
0.4	51.713867995340976
0.4	54.663715782300415
0.4	55.35398080543496
0.4	56.551918494405896
0.4	62.10792976814814
0.4	67.63713047566843
0.5	17.226898333009274
0.5	17.581060718735937
0.5	18.444998307006355
0.5	19.49858963413206
0.5	21.226464811893937
0.5	22.95341884534424
0.5	25.545231612560002
0.5	27.90375392867347
0.5	31.35950428538908
0.5	34.29455235123549
0.5	38.61424029739073
0.5	42.06110860624351
0.5	43.39712135477802
0.5	47.24473414149344
0.5	51.133537446322805
0.5	54.57954882833624
0.5	55.44237992699072
0.5	57.181100570152104
0.5	61.44167188997505
0.5	68.35317685371363
0.6000000000000001	17.25456935237675
0.6000000000000001	17.52238682470031
0.6000000000000001	18.55911193062165
0.6000000000000001	19.353667488097717
0.6000000000000001	21.4271177014102
0.6000000000000001	22.722342321407616
0.6000000000000001	25.832517642064772
0.6000000000000001	27.58661179260796
0.6000000000000001	31.733512220664725
0.6000000000000001	33.89142528033195
0.6000000000000001	39.075050815717134
0.6000000000000001	41.57206581892637
0.6000000000000001	43.39956180037796
0.6000000000000001	47.792416461225024
0.6000000000000001	50.55863348337998
0.6000000000000001	54.49585212877481
0.6000000000000001	55.5312492058791
0.6000000000000001	57.81570923197264
0.6000000000000001	60.78094431971185
0.6000000000000001	68.46357303948946
0.7000000000000001	17.287269322290243
0.7000000000000001	17.468750763757978
0.7000000000000001	18.678263387328585
0.7000000000000001	19.213809635897622
0.7000000000000001	21.632834884759408
0.7000000000000001	22.496373626290964
0.7000000000000001	26.12491150038866
0.7000000000000001	27.274637170218522
0.7000000000000001	32.11268766961517
0.7000000000000001	33.493540092114145
0.7000000000000001	39.54110321672827
0.7000000000000001	41.08835188827219
0.7000000000000001	43.402445929788065
0.7000000000000001	48.34542763761796
0.7000000000000001	49.989155289599935
0.7000000000000001	54.41262567379488
0.7000000000000001	55.620588610134604
0.7000000000000001	58.45574366295473
0.7000000000000001	60.12574628289592
0.7000000000000001	68.49687305193521
0.8	17.324997170991825
0.8	17.42015146492458
0.8	18.802451606141773
0.8	19.079015008984108
0.8	21.843615293394333
0.8	22.275511696981038
0.8	26.42241212451772
0.8	26.967829009329062
0.8	32.49702958006398
0.8	33.100895753010846
0.8	40.01239646685267
0.8	40.60996580921439
0.8	43.40577372623593
0.8	48.90376666560608
0.8	49.42510189944106
0.8	54.329869449429445
0.8	55.71039810450657
0.8	59.1012028975565
0.8	59.476076864123584
0.8	68.53529508061112
0.9	17.367751661963858
0.9	17.37658769260189
0.9	18.931675351441715
0.9	18.949282374537148
0.9	22.059457694211577
0.9	22.059755307280533
0.9	26.66618609591972
0.9	26.725018287977573
0.9	32.71349107041403
0.9	32.88653673799334
0.9	40.13690642198049
0.9	40.48892937348455
0.9	43.409545170381044
0.9	48.86647219868471
0.9	49.467432385417645
0.9	54.247583437861216
0.9	55.80067765024286
0.9	58.83193500698587
0.9	59.752085821558765
0.9	68.5788136510272
1	17.338058046542688
1	17.415531394082667
1	18.824610335491542
1	19.06593322305322
1	21.849103066449864
1	22.280360690995455
1	26.36970705414658
1	27.0327286008621
1	32.33132469267557
1	33.28120776755319
1	39.66917241205677
1	40.970700584971716
1	43.41376024031891
1	48.313264924375005
1	50.036423482537195
1	54.16576761756973
1	55.89142720503072
1	58.19331951399213
1	60.40839117200605
1	68.595728906256
1.1	17.304560962126956
1.1	17.468334801493402
1.1	18.704997330643884
1.1	19.205223656276317
1.1	21.6435534220411
1.1	22.506322721692076
1.1	26.07839034635353
1.1	27.345541509888434
1.1	31.954395109092726
1.1	33.68104113109267
1.1	39.206762310154915
1.1	41.4577085906133
1.1	43.418418911594415
1.1	47.765478664764224
1.1	50.610738487677516
1.1	54.08442196344249
1.1	55.98264672300795
1.1	57.56022904649442
1.1	61.07011753715014
1.1	68.5249862407045
1.2000000000000002	17.27609471020773
1.2000000000000002	17.52616015389259
1.2000000000000002	18.5904416346587
1.2000000000000002	19.34954492199381
1.2000000000000002	21.44310465713875
1.2000000000000002	22.73734206124933
1.2000000000000002	25.79223427308867
1.2000000000000002	27.663455298419525
1.2000000000000002	31.582700649890715
1.2000000000000002	34.08603512915778
1.2000000000000002	38.74967449215929
1.2000000000000002	41.94995172063505
1.2000000000000002	43.423521157186315
1.2000000000000002	47.22311185922692
1.2000000000000002	51.1903757767217
1.2000000000000002	54.00354644683205
1.2000000000000002	56.07433615476766
1.2000000000000002	56.9326621245781
1.2000000000000002	61.7372633563655
1.2000000000000002	67.81226077195632
1.3	17.252657397324246
1.3	17.58900555651063
1.3	18.480941358174725
1.3	19.49889512674377
1.3	21.24775489181793
1.3	22.97341682030589
1.3	25.511236973131076
1.3	27.986468086530156
1.3	31.216239486221177
1.3	34.49618790052738
1.3	38.29790717908756
1.3	42.447428146187725
1.3	43.42906694753533
1.3	46.686162798193024
1.3	51.77533357068838
1.3	53.9231410356528
1.3	56.16649544742265
1.3	56.3106171269714
1.3	62.40982692008156
1.3	67.10516572350483
1.4000000000000001	17.234246965769707
1.4000000000000001	17.656868950236547
1.4000000000000001	18.376494447880237
1.4000000000000001	19.653272212818898
1.4000000000000001	21.05750208292141
1.4000000000000001	23.21454494554993
1.4000000000000001	25.235396423518765
1.4000000000000001	28.314577831063197
1.4000000000000001	30.855009630149837
1.4000000000000001	34.91149742223894
1.4000000000000001	37.85145843704617
1.4000000000000001	42.950135879336806
1.4000000000000001	43.435056250550346
1.4000000000000001	46.15462962306394
1.4000000000000001	52.36560993568351
1.4000000000000001	53.84320569445171
1.4000000000000001	55.69409229092989
1.4000000000000001	56.259124544719434
1.4000000000000001	63.08780635216722
1.4000000000000001	66.40370948322102
1.5	17.22086119368109
1.5	17.729748111710737
1.5	18.277098686586623
1.5	19.81267395835595
1.5	20.872344024108187
1.5	23.46072421979257
1.5	24.96471043956129
1.5	28.64778232567684
1.5	30.499008934631487
1.5	35.331961509601534
1.5	37.41032617716031
1.5	43.441489031596966
1.5	43.45807277303746
1.5	45.62851032610953
1.5	52.961202782831286
1.5	53.76374038446397
1.5	55.083085712119235
1.5	56.35222338680394
1.5	63.77119961425599
1.5	65.707861453939
1.6	17.212497695164473
1.6	17.80764065345469
1.6	18.18275169333812
1.6	19.977097977460513
1.6	20.692278345933012
1.6	23.711952262077364
1.6	24.699176674884345
1.6	28.986079200926063
1.6	30.148235093510788
1.6	35.75757781624029
1.6	36.97450815553149
1.6	43.44836525352749
1.6	43.971236521133996
1.6	45.1078027503801
1.6	53.56210986822608
1.6	53.68474506366826
1.6	54.47759534446931
1.6	56.445791910728516
1.6	64.46000378083555
1.6	65.01764400798707
1.7000000000000002	17.20915392040921
1.7000000000000002	17.890544023990106
1.7000000000000002	18.093450923506474
1.7000000000000002	20.146541720321387
1.7000000000000002	20.517302515915116
1.7000000000000002	23.968226527776856
1.7000000000000002	24.438792621457882
1.7000000000000002	29.32946592432947
1.7000000000000002	29.80268564150387
1.7000000000000002	36.18834383412378
1.7000000000000002	36.544001973169784
1.7000000000000002	43.455684876678454
1.7000000000000002	44.48962465834001
1.7000000000000002	44.592504589597134
1.7000000000000002	53.6062196870989
1.7000000000000002	53.87761900003423
1.7000000000000002	54.168328792884
1.7000000000000002	56.539830050216075
1.7000000000000002	64.33304723201557
1.7000000000000002	65.15422033334028
1.8	17.210827155820212
1.8	17.97845550797583
1.8	18.00919366890595
1.8	20.321002473331223
1.8	20.347413838630004
1.8	24.183555609632325
1.8	24.229544308704607
1.8	29.462357954185695
1.8	29.677939800451146
1.8	36.118805075931334
1.8	36.62425689360277
1.8	43.46344785888221
1.8	44.08261338803587
1.8	45.01323456023763
1.8	53.28315434887912
1.8	53.528164206303266
1.8	54.77985700268555
1.8	56.63433773579713
1.8	63.65407399066148
1.8	65.85384044243366
1.9000000000000001	17.217514524158247
1.9000000000000001	17.929977057911287
1.9000000000000001	18.071372226354377
1.9000000000000001	20.182609455732287
1.9000000000000001	20.500477359290027
1.9000000000000001	23.93346280818352
1.9000000000000001	24.495902733235106
1.9000000000000001	29.127249247981833
1.9000000000000001	30.03149797098342
1.9000000000000001	35.6989147544519
1.9000000000000001	37.06531416345049
1.9000000000000001	43.47165415547791
1.9000000000000001	43.57812654042558
1.9000000000000001	45.54206344324421
1.9000000000000001	52.694198918863776
1.9000000000000001	53.45057857024445
1.9000000000000001	55.396691788232836
1.9000000000000001	56.72931489484726
1.9000000000000001	62.98071839495408
1.9000000000000001	66.5588684887318
2	17.229212984690832
2	17.85579805559005
2	18.169291136506306
2	20.02288634618382
2	20.6849633374217
2	23.688511224354208
2	24.76729876643549
2	28.797356580154084
2	30.390137414846638
2	35.28432814407792
2	37.51151265090974
2	43.079041291804366
2	43.480303719320524
2	46.07610836462453
2	52.1107500955216
2	53.37346272473626
2	56.01883028488061
2	56.82476145171787
2	62.31297816911882
2	67.2692937627337
2.1	17.245919333353452
2.1	17.7866534638388
2.1	18.27220903242038
2.1	19.868241326213283
2.1	20.87445720367781
2.1	23.448697703907197
2.1	25.04372921020241
2.1	28.472676848793313
2.1	30.753854948284445
2.1	34.87504222479357
2.1	37.96284920174073
2.1	42.585354737402945
2.1	43.48939650079222
2.1	46.61536622247024
2.1	51.53280512186555
2.1	53.296816612815746
2.1	56.64626947261371
2.1	56.92067732780021
2.1	61.65085082653379
2.1	67.98511904436974
2.2	17.26763020292257
2.2	17.722539921532928
2.2	18.380122544870257
2.2	19.718671049499438
2.2	21.068955590833518
2.2	23.214018931179996
2.2	25.325190703411142
2.2	28.153206792811797
2.2	31.122647224974944
2.2	34.47105382114852
2.2	38.41932050027811
2.2	42.09706382250577
2.2	43.49893244781316
2.2	47.1598337556922
2.2	50.9603610982026
2.2	53.220640174744176
2.2	57.01706244149712
2.2	57.27900617598292
2.2	60.99433365816341
2.2	68.54243233596054
2.3000000000000003	17.294342063196563
2.3000000000000003	17.663453904683184
2.3000000000000003	18.493028141602277
2.3000000000000003	19.574172007268796
2.3000000000000003	21.268454968686857
2.3000000000000003	22.984471429140683
2.3000000000000003	25.611679722071983
2.3000000000000003	27.838942991934285
2.3000000000000003	31.496510736144494
2.3000000000000003	34.07235960218043
2.3000000000000003	38.880923069486606
2.3000000000000003	41.614165342309875
2.3000000000000003	43.508911505852275
2.3000000000000003	47.70950754401555
2.3000000000000003	50.393414981946805
2.3000000000000003	53.14493334808915
2.3000000000000003	57.11391670837905
2.3000000000000003	57.91703706402559
2.3000000000000003	60.34342381339425
2.3000000000000003	68.57131344360022
2.4000000000000004	17.32605122119894
2.4000000000000004	17.609391726612117
2.4000000000000004	18.610922127545834
2.4000000000000004	19.43474052842914
2.4000000000000004	21.472951644260785
2.4000000000000004	22.76005155946436
2.4000000000000004	25.903192579507127
2.4000000000000004	27.52988186670192
2.4000000000000004	31.87544181070024
2.4000000000000004	33.6789560813448
2.4000000000000004	39.347653271036656
2.4000000000000004	41.13665594178654
2.4000000000000004	43.519333617950416
2.4000000000000004	48.2643840079813
2.4000000000000004	49.83196358742159
2.4000000000000004	53.0696960678047
2.4000000000000004	57.21124004122925
2.4000000000000004	58.56035865019694
2.4000000000000004	59.69811830718845
2.4000000000000004	68.60532434769452
2.5	17.36275382137088
2.5	17.56034953811923
2.5	18.733800645011854
2.5	19.300372779687823
2.5	21.68244176199603
2.5	22.54075552258823
2.5	26.199725426515855
2.5	27.226019678457376
2.5	32.259436615349465
2.5	33.29083961642287
2.5	39.819507305357
2.5	40.66453211551795
2.5	43.53019872471115
2.5	48.82445940893171
2.5	49.276003585639096
2.5	52.99492826628715
2.5	57.309032350087264
2.5	59.05841401982123
2.5	59.208967292278054
2.5	68.64446374608315
2.6	17.404445845803693
2.6	17.516323327685875
2.6	18.86165967393287
2.6	19.171064765708454
2.6	21.896921303983685
2.6	22.32657935780349
2.6	26.50127425157868
2.6	26.92735252935857
2.6	32.64849115475449
2.6	32.90800640945597
2.6	40.197790207554405
2.6	40.29648121172658
2.6	43.54150676433784
2.6	48.725531504097574
2.6	49.389729849024874
2.6	52.9206298734658
2.6	57.40729354233029
2.6	58.42430769664112
2.6	59.862859192310005
2.6	68.68873735544936
2.7	17.451123114460884
2.7	17.4773089216749
2.7	18.99449503209423
2.7	19.04681232925706
2.7	22.116386090116272
2.7	22.117518943408257
2.7	26.633876362377126
2.7	26.807834881054685
2.7	32.53045250665781
2.7	33.04260127168191
2.7	39.73642641125236
2.7	40.77857086834707
2.7	43.553257672639404
2.7	48.18054372655195
2.7	49.96019127123223
2.7	52.84680081685684
2.7	57.506023522718706
2.7	57.795795947794375
2.7	60.522030396508285
2.7	68.52317207341918
2.8000000000000003	17.443301984516612
2.8000000000000003	17.502781285453832
2.8000000000000003	18.927611151359045
2.8000000000000003	19.132302375394563
2.8000000000000003	21.913569996425434
2.8000000000000003	22.34083177870867
2.8000000000000003	26.34558696130959
2.8000000000000003	27.119402979393577
2.8000000000000003	32.15817379834104
2.8000000000000003	33.44176264715867
2.8000000000000003	39.28043676910866
2.8000000000000003	41.26577199242749
2.8000000000000003	43.565451383058
2.8000000000000003	47.64103649278409
2.8000000000000003	50.53583945934945
2.8000000000000003	52.773441021636664
2.8000000000000003	57.172875247951175
2.8000000000000003	57.60522219345541
2.8000000000000003	61.1864767951822
2.8000000000000003	67.81671514905071
2.9000000000000004	17.41429801901001
2.9000000000000004	17.55941585522519
2.9000000000000004	18.813456751486434
2.9000000000000004	19.275077198095584
2.9000000000000004	21.714728073452314
2.9000000000000004	22.57025386600575
2.9000000000000004	26.062479950786337
2.9000000000000004	27.435974049366354
2.9000000000000004	31.79116601883097
2.9000000000000004	33.845970800652196
2.9000000000000004	38.8298171725971
2.9000000000000004	41.75808014025906
2.9000000000000004	43.57808782670224
2.9000000000000004	47.10700589836663
2.9000000000000004	51.11667003800781
2.9000000000000004	52.70055041069864
2.9000000000000004	56.55554193600532
2.9000000000000004	57.70488945433798
2.9000000000000004	61.85619412150634
2.9000000000000004	67.11612478691485
3	17.390292366470756
3	17.621022158913505
3	18.70434448772337
3	19.422814833119958
3	21.520988570015845
3	22.80464768720716
3	25.78455079629107
3	27.757543432301837
3	31.429424746389834
3	34.25522109024769
3	38.384563361998
3	42.25549070724293
3	43.59116693244392
3	46.578447894417266
3	51.70267847269025
3	52.62812890471826
3	55.94379221484636
3	57.8050252024076
3	62.53117797016077
3	66.42118056471999
3.1	17.371280207041398
3.1	17.687595370583352
3.1	18.60026955697083
3.1	19.575510452334687
3.1	21.33234672106408
3.1	23.04400841637777
3.1	25.511794804181957
3.1	28.08410630834122
3.1	31.07294540313862
3.1	34.66950871284609
3.1	37.94467092622656
3.1	42.75799892765853
3.1	43.60468862727969
3.1	46.0553582873497
3.1	52.29386006975431
3.1	52.55617642220447
3.1	55.33762215095498
3.1	57.90562933254057
3.1	63.211423790180625
3.1	65.73194683531077
3.2	17.357256559942037
3.2	17.759130503542856
3.2	18.501226995150233
3.2	19.73315906686439
3.2	21.14879760101673
3.2	23.288331066824803
3.2	25.2442071217174
3.2	28.415657696704063
3.2	30.721723254980677
3.2	35.088828704367884
3.2	37.51013530265521
3.2	43.26559987148018
3.2	43.61865283965262
3.2	45.53773273861684
3.2	52.48469287955971
3.2	52.890209976459325
3.2	54.7370276741432
3.2	58.00670173726962
3.2	63.8969268424903
3.2	65.04840668298098
3.3000000000000003	17.348216283751686
3.3000000000000003	17.83562241065979
3.3000000000000003	18.407211677422122
3.3000000000000003	19.895755527413417
3.3000000000000003	20.9703361238967
3.3000000000000003	23.537610491415613
3.3000000000000003	24.98178273709124
3.3000000000000003	28.752192455969016
3.3000000000000003	30.37575341152547
3.3000000000000003	35.51317593997265
3.3000000000000003	37.080951776939074
3.3000000000000003	43.63305943450067
3.3000000000000003	43.7782885094806
3.3000000000000003	45.02556676444767
3.3000000000000003	52.413678191121804
3.3000000000000003	53.491723180997234
3.3000000000000003	54.14200457724301
3.3000000000000003	58.108242306727334
3.3000000000000003	64.37057331416774
3.3000000000000003	64.58768130142919
3.4000000000000004	17.344154076704587
3.4000000000000004	17.917065784695108
3.4000000000000004	18.318218318416637
3.4000000000000004	20.06329452460759
3.4000000000000004	20.79695704347571
3.4000000000000004	23.79184138291024
3.4000000000000004	24.724516479469713
3.4000000000000004	29.09370528436983
3.4000000000000004	30.03503082601784
3.4000000000000004	35.94254513428965
3.4000000000000004	36.65711548283564
3.4000000000000004	43.64790845036439
3.4000000000000004	44.29605947628061
3.4000000000000004	44.5188557355808
3.4000000000000004	52.34313226921862
3.4000000000000004	53.55254851577664
3.4000000000000004	54.098394512535016
3.4000000000000004	58.21025092872257
3.4000000000000004	63.698386875250556
3.4000000000000004	65.28368397777642
3.5	17.345064477001195
3.5	18.003455158652745
3.5	18.23424147247887
3.5	20.235770589350054
3.5	20.628654953427386
3.5	24.051018274311563
3.5	24.47240301903998
3.5	29.44019072010659
3.5	29.699550295267244
3.5	36.23862140202342
3.5	36.37693084166315
3.5	43.66319971542991
3.5	44.017594876987026
3.5	44.818907454483345
3.5	52.27305502420812
3.5	52.96865500757812
3.5	54.7102186412576
3.5	58.31272748883829
3.5	63.03188829387212
3.5	65.98493510659667
3.6	17.35094186313489
3.6	18.094784906144827
3.6	18.15527553392702
3.6	20.413178093190165
3.6	20.465424287497004
3.6	24.225436867061408
3.6	24.315135539231143
3.6	29.369306459580574
3.6	29.791643141672303
3.6	35.82546436392247
3.6	36.8163274564098
3.6	43.52177926760011
3.6	43.6789331637235
3.6	45.346826858652264
3.6	52.20344636451783
3.6	52.39031943250482
3.6	55.327190078425915
3.6	58.41567187042419
3.6	62.37106184538641
3.6	66.69142444168024
3.7	17.361780454234932
3.7	18.0813147373242
3.7	18.19104924177686
3.7	20.307259319655433
3.7	20.595511248736276
3.7	23.983612375929397
3.7	24.584187392272746
3.7	29.044293802703425
3.7	30.148056768195772
3.7	35.417639045509965
3.7	37.26072921309237
3.7	43.03140384002541
3.7	43.69510870915043
3.7	45.879811961476015
3.7	51.817537032038224
3.7	52.134306196682004
3.7	55.94930317643265
3.7	58.51908395458807
3.7	61.715902876655406
3.7	67.4031687264682
3.8000000000000003	17.377574310427924
3.8000000000000003	18.01235315776846
3.8000000000000003	18.292242221548
3.8000000000000003	20.1541541643388
3.8000000000000003	20.782764110012867
3.8000000000000003	23.746923739244178
3.8000000000000003	24.85816788943505
3.8000000000000003	28.724506651756197
3.8000000000000003	30.50942565980263
3.8000000000000003	35.01513997113964
3.8000000000000003	37.710130186806516
3.8000000000000003	42.546463380254956
3.8000000000000003	43.71172626241368
3.8000000000000003	46.41785687705641
3.8000000000000003	51.250302908947575
3.8000000000000003	52.06563442537984
3.8000000000000003	56.57655212886859
3.8000000000000003	58.62296362000344
3.8000000000000003	61.066406786878325
3.8000000000000003	68.12006054314661
3.9000000000000004	17.398317333214298
3.9000000000000004	17.94838471119414
3.9000000000000004	18.39835774327289
3.9000000000000004	20.00610277659431
3.9000000000000004	20.974930572942625
3.9000000000000004	23.515364991890106
3.9000000000000004	25.13707092853126
3.9000000000000004	28.409939177185635
3.9000000000000004	30.875743717993537
3.9000000000000004	34.61796151235986
3.9000000000000004	38.16452429348497
3.9000000000000004	42.06695252738121
3.9000000000000004	43.72878573180922
3.9000000000000004	46.96095556033289
3.9000000000000004	50.68861202691229
3.9000000000000004	51.997430953457716
3.9000000000000004	57.20893097061514
3.9000000000000004	58.72731074387306
3.9000000000000004	60.422568876596934
3.9000000000000004	68.84221743122298
4	17.424003265864545
4	17.88940315469188
4	18.509389547019097
4	19.86309895232667
4	21.17200437575743
4	23.288930010124954
4	25.42089024962769
4	28.100585392712954
4	31.247004686037887
4	34.22609788773155
4	38.62390529021688
4	41.592865773297994
4	43.746287023386984
4	47.50910180715683
4	50.13245921014968
4	51.9296956819649
4	57.846433577897876
4	58.83212520064104
4	59.78438435249591
4	68.87372134264425
4.1000000000000005	17.454625693834878
4.1000000000000005	17.835402086846237
4.1000000000000005	18.625331215567822
4.1000000000000005	19.7251363285197
4.1000000000000005	21.373979099471597
4.1000000000000005	23.067612511680363
4.1000000000000005	25.709619435504408
4.1000000000000005	27.796439155295086
4.1000000000000005	31.623202149391485
4.1000000000000005	33.83954316264979
4.1000000000000005	39.08826677558434
4.1000000000000005	41.12419746240558
4.1000000000000005	43.764230041013626
4.1000000000000005	48.06228925448626
4.1000000000000005	49.58183914303377
4.1000000000000005	51.86242851017285
4.1000000000000005	58.48905366827134
4.1000000000000005	58.93740686293358
4.1000000000000005	59.151848281262815
4.1000000000000005	68.90837432232425
4.2	17.490178045198114
4.2	17.786374948086298
4.2	18.746176174889715
4.2	19.59220838347926
4.2	21.580848168359644
4.2	22.851406055868186
4.2	26.003251912130125
4.2	27.497494165085495
4.2	32.004329536126455
4.2	33.45829124916367
4.2	39.55760219001283
4.2	40.660941791309455
4.2	43.782614686401324
4.2	48.62051138061
4.2	49.03674636970361
4.2	51.795629335597546
4.2	58.52495559850879
4.2	59.043155597143205
4.2	59.136784804961906
4.2	68.94818101192631
4.3	17.53065359110539
4.3	17.742315021065796
4.3	18.87191769465267
4.3	19.46430843709844
4.3	21.79260485046838
4.3	22.640304043710795
4.3	26.301780949171455
4.3	27.203743965414247
4.3	32.39038011739372
4.3	33.08233590580949
