% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2026, 14:53
% Table:              Tabla 4 - Valor propio
% R_1 (nm)                                        lambda                                            Energía propia (meV)                              Probabilidad total (1)
7                                                 -0.02063255062960273                              -20.63255062960273                                1.0000000000000024
7                                                 -0.01290429428330668                              -12.904294283306678                               1.0000000000000013
7                                                 -0.00542005421459163                              -5.420054214591629                                1.0000000000000002
7                                                 0.0018198969026454737                             1.8198969026454734                                1.0000000000000022
7                                                 0.008813404202801328                              8.813404202801326                                 1.0000000000000018
7                                                 0.015556037313496612                              15.55603731349661                                 0.9999999999999993
7                                                 0.022040574985543113                              22.040574985543113                                1.0000000000000002
7                                                 0.028256199086961142                              28.256199086961136                                0.9999999999999974
7                                                 0.03132209264486384                               31.322092644863833                                0.9999999999999998
7                                                 0.034186913286232135                              34.186913286232134                                0.9999999999999994
7                                                 0.03941223580199059                               39.41223580199058                                 1
7                                                 0.039811259848988145                              39.81125984898814                                 1.0000000000000013
7                                                 0.04507812255412377                               45.07812255412377                                 1.0000000000000007
7                                                 0.04727717782471058                               47.27717782471058                                 0.9999999999999989
7                                                 0.05002767329839498                               50.02767329839497                                 1.0000000000000009
7                                                 0.05401058265422544                               54.01058265422543                                 1.0000000000000002
7                                                 0.05490526686615733                               54.90526686615732                                 1.0000000000000044
7                                                 0.05905938204924566                               59.05938204924565                                 0.9999999999999998
7                                                 0.06018306703996668                               60.18306703996667                                 1.0000000000000002
7                                                 0.06228356563674364                               62.28356563674364                                 0.9999999999999982
7                                                 0.06843525327938779                               68.43525327938778                                 0.9999999999999988
7                                                 0.06849232586697566                               68.49232586697566                                 1.0000000000000007
7                                                 0.0693972013589213                                69.3972013589213                                  1.0000000000000016
7                                                 0.07622841200211136                               76.22841200211136                                 0.9999999999999996
7                                                 0.07934545328343717                               79.34545328343717                                 0.9999999999999998
7.2                                               -0.02063255082739429                              -20.632550827394287                               0.9999999999999997
7.2                                               -0.01290429424461459                              -12.904294244614588                               0.9999999999999956
7.2                                               -0.005420054132871291                             -5.42005413287129                                 1.0000000000000024
7.2                                               0.0018198969324118158                             1.8198969324118157                                1.0000000000000033
7.2                                               0.00881340425094218                               8.81340425094218                                  0.9999999999999962
7.2                                               0.015556037538010478                              15.556037538010477                                1
7.2                                               0.02204057545383925                               22.04057545383925                                 0.9999999999999984
7.2                                               0.028256199493642734                              28.256199493642733                                0.9999999999999997
