% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 16 2026, 22:23
% Table:              Tabla 6 - Valor propio 2
% n                                               lambda                                            Energía propia (meV)                              Probabilidad total (1)
1                                                 0.01716401808027397                               17.16401808027397                                 1
1                                                 0.017950025998940078                              17.950025998940077                                1.0000000000000004
1                                                 0.017950032765309626                              17.950032765309626                                1.0000000000000007
1                                                 0.02029919060148143                               20.299190601481428                                0.9999999999999994
1                                                 0.020299192490391346                              20.29919249039134                                 1
1                                                 0.024185444592881813                              24.185444592881808                                1.0000000000000007
1                                                 0.02418544493584808                               24.185444935848075                                0.9999999999999982
1                                                 0.02956700234241863                               29.567002342418625                                1.0000000000000024
1                                                 0.02956700328577555                               29.567003285775545                                0.9999999999999993
1                                                 0.03638884091954461                               36.38884091954461                                 1.0000000000000004
1                                                 0.03638884104113163                               36.38884104113163                                 0.9999999999999992
1                                                 0.044586279288012225                              44.58627928801222                                 1.0000000000000007
1                                                 0.04458628017720903                               44.58628017720903                                 1
1                                                 0.0504721715174518                                50.47217151745179                                 1.000000000000001
1                                                 0.05408946690645121                               54.0894669064512                                  1.000000000000001
1                                                 0.05408946745083588                               54.089467450835876                                1.0000000000000004
1                                                 0.05750320606279359                               57.50320606279358                                 1.0000000000000007
1                                                 0.06454755306654196                               64.54755306654195                                 1.0000000000000004
1                                                 0.06482827467940011                               64.82827467940011                                 1.0000000000000009
1                                                 0.06482827513448007                               64.82827513448007                                 0.9999999999999987
1                                                 0.06837240844632694                               68.37240844632694                                 0.9999999999999996
1                                                 0.06920453660106474                               69.20453660106473                                 1.000000000000001
1                                                 0.06921165607164013                               69.21165607164012                                 0.9999999999999991
1                                                 0.07169070890437083                               71.69070890437084                                 1.0000000000000029
1                                                 0.07169148615223234                               71.69148615223233                                 0.999999999999998
1                                                 0.07585088711395502                               75.85088711395501                                 1.0000000000000007
1                                                 0.07585091298365768                               75.85091298365766                                 1.000000000000001
1                                                 0.0767368695341476                                76.73686953414759                                 0.9999999999999997
1                                                 0.07673687008046398                               76.73687008046397                                 0.9999999999999989
1                                                 0.08167624582060742                               81.67624582060742                                 0.9999999999999992
1.1                                               0.017164021393508866                              17.164021393508865                                0.9999999999999996
1.1                                               0.017950027319257336                              17.950027319257334                                0.999999999999999
1.1                                               0.017950034515841137                              17.950034515841136                                0.9999999999999994
1.1                                               0.020299190824799127                              20.299190824799123                                1.0000000000000009
1.1                                               0.020299192860405088                              20.299192860405086                                1.0000000000000013
1.1                                               0.02418544468203511                               24.185444682035104                                0.9999999999999994
1.1                                               0.024185444951263582                              24.18544495126358                                 0.9999999999999992
1.1                                               0.0295670025510152                                29.567002551015197                                1.0000000000000024
1.1                                               0.029567003110658185                              29.56700311065818                                 1.000000000000001
1.1                                               0.036388840924003255                              36.388840924003254                                0.9999999999999988
1.1                                               0.036388841060772364                              36.38884106077236                                 0.9999999999999996
1.1                                               0.044586279289687336                              44.586279289687326                                1.0000000000000002
1.1                                               0.044586280199014776                              44.58628019901477                                 0.9999999999999994
1.1                                               0.0525444725535969                                52.5444725535969                                  1
1.1                                               0.05408946692476543                               54.08946692476542                                 1.0000000000000002
1.1                                               0.054089467456399656                              54.08946745639965                                 0.9999999999999988
1.1                                               0.05893491530767799                               58.93491530767798                                 0.9999999999999998
1.1                                               0.0648282746313672                                64.8282746313672                                  1.0000000000000007
1.1                                               0.06482827520672214                               64.82827520672214                                 0.9999999999999996
1.1                                               0.06673607473122098                               66.73607473122098                                 1.0000000000000004
1.1                                               0.06837287821197624                               68.37287821197623                                 0.9999999999999998
1.1                                               0.06920523216398114                               69.20523216398114                                 0.9999999999999987
1.1                                               0.06922213834764149                               69.22213834764149                                 1.0000000000000013
1.1                                               0.07169089541845317                               71.69089541845315                                 1
1.1                                               0.0716916263084901                                71.6916263084901                                  0.9999999999999989
1.1                                               0.07585089154186872                               75.85089154186872                                 0.9999999999999977
1.1                                               0.07585092444138436                               75.85092444138435                                 1.000000000000001
1.1                                               0.07673686955279213                               76.73686955279213                                 0.9999999999999987
1.1                                               0.07673687013607249                               76.73687013607248                                 0.9999999999999997
1.1                                               0.0816762464171854                                81.6762464171854                                  1.000000000000001
1.2                                               0.017164024173335568                              17.164024173335566                                1.0000000000000009
1.2                                               0.01795002860325412                               17.95002860325412                                 1.0000000000000002
1.2                                               0.01795003603394331                               17.950036033943306                                0.9999999999999984
1.2                                               0.02029919158383546                               20.29919158383546                                 0.9999999999999986
1.2                                               0.020299192784003287                              20.299192784003285                                0.9999999999999996
1.2                                               0.024185444736025408                              24.185444736025406                                1.0000000000000002
1.2                                               0.024185445112886783                              24.185445112886782                                1.0000000000000009
1.2                                               0.029567002552306793                              29.56700255230679                                 1.0000000000000018
1.2                                               0.02956700324830118                               29.567003248301177                                1.0000000000000002
1.2                                               0.03638884080161045                               36.38884080161045                                 1.0000000000000002
1.2                                               0.03638884130650076                               36.38884130650076                                 0.999999999999999
1.2                                               0.04458627943948696                               44.58627943948696                                 1.0000000000000009
1.2                                               0.044586280164007584                              44.58628016400758                                 1.0000000000000004
1.2                                               0.05408946704776815                               54.089467047768146                                0.9999999999999997
1.2                                               0.0540894674381244                                54.089467438124395                                1.0000000000000007
1.2                                               0.05436378487446103                               54.36378487446102                                 1.0000000000000027
1.2                                               0.060229810771265616                              60.229810771265605                                0.9999999999999988
1.2                                               0.064828274761277                                 64.828274761277                                   0.9999999999999991
1.2                                               0.06482827516900207                               64.82827516900207                                 0.9999999999999996
1.2                                               0.0683733913932109                                68.3733913932109                                  0.9999999999999996
1.2                                               0.06865828171676783                               68.65828171676782                                 0.9999999999999996
1.2                                               0.06920604266639806                               69.20604266639805                                 1.0000000000000002
1.2                                               0.06930101392878585                               69.30101392878585                                 0.9999999999999993
1.2                                               0.07169106148364707                               71.69106148364706                                 1
1.2                                               0.07169174505843098                               71.69174505843098                                 0.9999999999999994
1.2                                               0.0758508969670016                                75.85089696700159                                 1.0000000000000013
1.2                                               0.07585093808952237                               75.85093808952236                                 1.0000000000000004
1.2                                               0.0767368695728505                                76.7368695728505                                  1.0000000000000004
1.2                                               0.07673687016595279                               76.73687016595278                                 0.9999999999999997
1.2                                               0.08167624685689497                               81.67624685689496                                 0.9999999999999997
1.3                                               0.017164026379985514                              17.164026379985515                                1.0000000000000002
1.3                                               0.017950029388036318                              17.950029388036317                                0.9999999999999996
1.3                                               0.017950037461824594                              17.950037461824593                                0.9999999999999999
