% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 17 2026, 02:13
% Table:              Tabla 7 - Valor propio 3
% B (T)                                           n                                                 lambda                                            Energía propia (meV)                              Probabilidad total (1)
0.2                                               1                                                 0.011884323974310607                              11.884323974310606                                0.9999999999999991
0.2                                               1                                                 0.013637709433711606                              13.637709433711604                                1.0000000000000013
0.2                                               1                                                 0.014235897591213728                              14.235897591213725                                1.000000000000001
0.2                                               1                                                 0.015822877259698484                              15.822877259698483                                1.0000000000000007
0.2                                               1                                                 0.016487985116130727                              16.487985116130723                                1
0.2                                               1                                                 0.016514070699898256                              16.514070699898255                                1.0000000000000007
0.2                                               1                                                 0.019493062080468554                              19.49306208046855                                 1.0000000000000016
0.2                                               1                                                 0.020523221755587504                              20.5232217555875                                  1.0000000000000016
0.2                                               1                                                 0.024708479768531744                              24.708479768531742                                0.9999999999999991
0.2                                               1                                                 0.026087987393607126-3.311536102332637E-18i       26.087987393607126-3.3115361023326365E-15i        0.9999999999999981
0.2                                               1                                                 0.03138253930316308                               31.382539303163075                                0.9999999999999994
0.2                                               1                                                 0.03310897786945427                               33.108977869454264                                0.9999999999999996
0.2                                               1                                                 0.03944203721609188                               39.442037216091876                                0.9999999999999998
0.2                                               1                                                 0.041514653534482956                              41.51465353448295                                 1.0000000000000004
0.2                                               1                                                 0.04660148209140912                               46.60148209140912                                 1.0000000000000024
0.2                                               1                                                 0.04881316080650717                               48.81316080650716                                 0.9999999999999993
0.2                                               1                                                 0.051231659697923766+2.0540428296227418E-16i      51.23165969792376+2.0540428296227415E-13i         1.0000000000000018
0.2                                               1                                                 0.05303161581193615-1.101795895389017E-14i        53.03161581193614-1.101795895389017E-11i          0.999999999999999
0.2                                               1                                                 0.059423124358902686+5.113572754943307E-12i       59.423124358902676+5.113572754943306E-9i          0.9999999999999996
0.2                                               1                                                 0.062187354797337405-8.258508455130866E-8i        62.1873547973374-8.258508455130865E-5i            0.9999999999999991
0.2                                               1.5                                               0.011884812799254157                              11.884812799254156                                0.9999999999999998
0.2                                               1.5                                               0.01363772117045195                               13.637721170451949                                1.0000000000000009
0.2                                               1.5                                               0.014235940025856708                              14.235940025856706                                0.999999999999999
0.2                                               1.5                                               0.015822967416259576                              15.822967416259575                                1.0000000000000009
0.2                                               1.5                                               0.01649200809348078                               16.492008093480777                                0.9999999999999987
0.2                                               1.5                                               0.019493019089676933                              19.49301908967693                                 1.000000000000002
0.2                                               1.5                                               0.020523020311913304                              20.523020311913303                                1.0000000000000004
0.2                                               1.5                                               0.020750920138537313                              20.75092013853731                                 1.0000000000000056
0.2                                               1.5                                               0.024708482128209197                              24.708482128209194                                1.0000000000000016
0.2                                               1.5                                               0.026087989070675957                              26.087989070675956                                1.0000000000000009
0.2                                               1.5                                               0.03138253956233214                               31.382539562332138                                1.000000000000001
0.2                                               1.5                                               0.03310897809835478                               33.108978098354775                                0.9999999999999992
0.2                                               1.5                                               0.03944203730006786                               39.44203730006786                                 1
0.2                                               1.5                                               0.041514653618629375                              41.51465361862937                                 1.0000000000000007
0.2                                               1.5                                               0.048813160848924564                              48.81316084892456                                 0.999999999999999
0.2                                               1.5                                               0.05123165975134201                               51.231659751342                                   1.0000000000000022
