% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 22 2026, 00:08
% Table:              Tabla 8 - Valor propio
% F (kV/cm)                                       lambda                                            Energía propia (eV)                               Probabilidad total (1)
-25.000000000000004                               0.025150051129014694                              0.025150051129014694                              0.9999999999999993
-25.000000000000004                               0.030246240179739564                              0.030246240179739568                              0.9999999999999993
-25.000000000000004                               0.03386399517030142                               0.03386399517030142                               0.9999999999999982
-25.000000000000004                               0.04115479527518724                               0.04115479527518724                               0.9999999999999964
-25.000000000000004                               0.042783665026032126                              0.042783665026032126                              0.9999999999999987
-25.000000000000004                               0.051802221712727664                              0.051802221712727664                              1.000000000000005
-25.000000000000004                               0.06208891833370197                               0.06208891833370197                               0.9999999999999992
-25.000000000000004                               0.06690194604960757                               0.06690194604960757                               1.000000000000001
-25.000000000000004                               0.0720159832794473                                0.0720159832794473                                0.9999999999999993
-25.000000000000004                               0.07202693636320331                               0.07202693636320331                               0.9999999999999986
-25.000000000000004                               0.08157500224696465                               0.08157500224696465                               1.000000000000001
-25.000000000000004                               0.09072871796403238                               0.0907287179640324                                0.9999999999999996
-25.000000000000004                               0.09944142668823083                               0.09944142668823085                               0.9999999999999996
-25.000000000000004                               0.10745840508732431                               0.10745840508732431                               0.999999999999998
-25.000000000000004                               0.10786635797286005                               0.10786635797286007                               1.0000000000000013
-25.000000000000004                               0.11297658539030851                               0.11297658539030851                               0.9999999999999988
-25.000000000000004                               0.11534201274710074                               0.11534201274710074                               0.999999999999999
-25.000000000000004                               0.12217108557759367                               0.12217108557759367                               1.0000000000000004
-25.000000000000004                               0.12890285416671513                               0.12890285416671513                               0.9999999999999984
-25.000000000000004                               0.13198918441968116                               0.13198918441968116                               0.9999999999999989
-25.000000000000004                               0.1417081174381539                                0.14170811743815392                               1.0000000000000009
-25.000000000000004                               0.14189312165961834                               0.14189312165961834                               1.0000000000000009
-25.000000000000004                               0.1501614066698857                                0.1501614066698857                                1.0000000000000018
-25.000000000000004                               0.1567759185600286                                0.1567759185600286                                1.0000000000000013
-25.000000000000004                               0.15678683146439326                               0.15678683146439326                               0.9999999999999992
-25.000000000000004                               0.15824427935444085                               0.15824427935444088                               1.000000000000001
-25.000000000000004                               0.16257463727249083                               0.16257463727249083                               1.0000000000000029
-25.000000000000004                               0.17398107866464985                               0.17398107866464987                               0.999999999999998
-25.000000000000004                               0.17457635836511148                               0.1745763583651115                                0.9999999999999991
-25.000000000000004                               0.17466718068510312                               0.17466718068510312                               1.0000000000000009
-24.8                                             0.02522859691908859                               0.025228596919088592                              0.9999999999999987
-24.8                                             0.030672921514865822                              0.030672921514865826                              1
-24.8                                             0.033776273068969395                              0.033776273068969395                              0.9999999999999994
-24.8                                             0.04153103080878878                               0.04153103080878879                               1.0000000000000013
-24.8                                             0.042833108998089384                              0.042833108998089384                              0.9999999999999993
-24.8                                             0.05213972567392903                               0.05213972567392903                               1
-24.8                                             0.062380540872564526                              0.062380540872564526                              0.9999999999999998
-24.8                                             0.06691688916812195                               0.06691688916812195                               0.9999999999999989
-24.8                                             0.07200019274491988                               0.07200019274491988                               0.9999999999999991
-24.8                                             0.07227204484768186                               0.07227204484768186                               0.9999999999999999
-24.8                                             0.0817735642036091                                0.0817735642036091                                1.000000000000001
-24.8                                             0.09087951165320574                               0.09087951165320574                               0.9999999999999977
-24.8                                             0.09954311724955316                               0.09954311724955316                               0.9999999999999977
-24.8                                             0.1074828269879602                                0.10748282698796022                               1.0000000000000002
-24.8                                             0.1078945504893801                                0.10789455048938011                               0.9999999999999998
-24.8                                             0.11297616328206843                               0.11297616328206843                               0.9999999999999998
-24.8                                             0.11533870102045121                               0.11533870102045121                               0.9999999999999982
-24.8                                             0.12209172339784019                               0.12209172339784019                               1.0000000000000007
