% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2026, 13:52
% Table:              Tabla 4 - Valor propio
% n                                               lambda                                            Energía propia (meV)                              Probabilidad total (1)
1                                                 0.01716418576618689                               17.16418576618689                                 0.9999999999999996
1                                                 0.017950206986274225                              17.950206986274225                                1.0000000000000018
1                                                 0.017950210690722043                              17.95021069072204                                 1.0000000000000009
1                                                 0.020299384573235435                              20.299384573235432                                1.0000000000000022
1                                                 0.02029938517759848                               20.299385177598477                                0.9999999999999989
1                                                 0.024185653615149724                              24.185653615149725                                0.9999999999999992
1                                                 0.02418565575594732                               24.185655755947316                                0.9999999999999989
1                                                 0.029567235620406473                              29.56723562040647                                 1.0000000000000013
1                                                 0.029567239075577595                              29.567239075577593                                0.9999999999999993
1                                                 0.03638911231939089                               36.38911231939089                                 0.9999999999999989
1                                                 0.03638911290629862                               36.389112906298614                                1
1                                                 0.04343489828538837                               43.434898285388364                                0.9999999999999996
1                                                 0.04458660687325453                               44.58660687325453                                 0.9999999999999994
1                                                 0.04458660835493858                               44.58660835493857                                 0.9999999999999999
1                                                 0.054089879661686185                              54.08987966168618                                 0.9999999999999996
1                                                 0.054089880769185236                              54.08988076918523                                 1.0000000000000016
1                                                 0.055005985902612686                              55.005985902612686                                0.999999999999998
1                                                 0.055073992764886504                              55.0739927648865                                  1.000000000000004
1                                                 0.06482881493344037                               64.82881493344036                                 0.9999999999999994
1                                                 0.06482881539531192                               64.8288153953119                                  0.9999999999999998
1                                                 0.06837197691097323                               68.37197691097322                                 1.0000000000000004
1                                                 0.06920425197683745                               69.20425197683745                                 0.9999999999999991
1                                                 0.06920427528924025                               69.20427528924024                                 0.9999999999999993
1                                                 0.07169093667286708                               71.69093667286707                                 1.0000000000000009
1                                                 0.07169134876888833                               71.69134876888832                                 1
1                                                 0.0758516477435969                                75.85164774359689                                 0.9999999999999996
1                                                 0.0758516561496001                                75.85165614960009                                 0.9999999999999997
1                                                 0.07673759550653622                               76.73759550653621                                 0.9999999999999982
1                                                 0.07673759686331799                               76.73759686331799                                 1.0000000000000002
1                                                 0.081677159091948                                 81.677159091948                                   0.9999999999999999
1                                                 0.0816771720830771                                81.67717208307708                                 0.9999999999999997
1                                                 0.08356338582896614                               83.56338582896612                                 0.9999999999999998
1                                                 0.085574004639654                                 85.57400463965399                                 0.9999999999999973
1                                                 0.08917087875865194                               89.17087875865194                                 1.0000000000000018
1                                                 0.08917088466855103                               89.17088466855101                                 0.9999999999999997
1                                                 0.0897581855470956                                89.75818554709558                                 0.9999999999999981
1                                                 0.08975818773825037                               89.75818773825036                                 1.0000000000000018
1                                                 0.09833029270747624                               98.33029270747623                                 1.0000000000000027
1                                                 0.09833029906186365                               98.33029906186364                                 0.9999999999999999
1                                                 0.10384222092010129                               103.84222092010128                                1.0000000000000018
1                                                 0.10384222698008364                               103.84222698008362                                0.9999999999999996
1                                                 0.1091454981366604                                109.1454981366604                                 0.999999999999999
1                                                 0.10914550386628852                               109.14550386628851                                1.0000000000000009
1                                                 0.11895129335287087                               118.95129335287086                                1.000000000000001
1                                                 0.1189512939650562                                118.9512939650562                                 0.9999999999999999
1                                                 0.12159586601809468                               121.59586601809467                                1.0000000000000002
1                                                 0.12159587433231758                               121.59587433231758                                1.0000000000000002
1                                                 0.12614440391187992                               126.1444039118799                                 1.0000000000000002
1                                                 0.1261602778486643                                126.16027784866428                                0.9999999999999989
1                                                 0.13505596486045368                               135.05596486045366                                1.0000000000000016
1.2                                               0.01716418563538144                               17.16418563538144                                 1.0000000000000029
1.2                                               0.01795020696481392                               17.950206964813916                                1.0000000000000007
1.2                                               0.017950210622766555                              17.95021062276655                                 0.9999999999999998
1.2                                               0.020299384565170303                              20.2993845651703                                  0.9999999999999996
1.2                                               0.020299385174136583                              20.29938517413658                                 0.9999999999999989
1.2                                               0.024185653614437877                              24.18565361443787                                 0.9999999999999996
1.2                                               0.024185655755296118                              24.185655755296114                                1.0000000000000004
1.2                                               0.02956723562032676                               29.567235620326755                                0.9999999999999996
1.2                                               0.029567239075420623                              29.567239075420616                                0.9999999999999994
1.2                                               0.036389112319342956                              36.38911231934295                                 0.9999999999999983
1.2                                               0.03638911290624791                               36.38911290624791                                 0.9999999999999993
1.2                                               0.043380010005797526                              43.380010005797516                                0.9999999999999992
1.2                                               0.04458660687322006                               44.586606873220056                                1.0000000000000009
1.2                                               0.044586608354897195                              44.586608354897194                                1.0000000000000002
1.2                                               0.05408987966165215                               54.08987966165214                                 1.0000000000000009
1.2                                               0.05408988076915056                               54.089880769150554                                1.000000000000001
1.2                                               0.05498543034248512                               54.98543034248512                                 1.0000000000000013
1.2                                               0.05500972580661618                               55.009725806616174                                0.9999999999999981
1.2                                               0.0648288149334095                                64.82881493340949                                 1.0000000000000004
1.2                                               0.06482881539528401                               64.82881539528401                                 1.0000000000000009
1.2                                               0.06837197023872255                               68.37197023872254                                 0.9999999999999989
1.2                                               0.06920425019455877                               69.20425019455875                                 0.9999999999999992
1.2                                               0.06920425218541526                               69.20425218541526                                 1.000000000000001
1.2                                               0.07169093522807832                               71.6909352280783                                  1.000000000000001
1.2                                               0.07169134132584773                               71.69134132584772                                 1.0000000000000004
1.2                                               0.07585164763358919                               75.85164763358918                                 1.0000000000000002
1.2                                               0.07585165607344983                               75.85165607344983                                 0.9999999999999989
1.2                                               0.07673759550651388                               76.73759550651387                                 1.0000000000000027
1.2                                               0.07673759686329526                               76.73759686329525                                 1.000000000000001
1.2                                               0.08167715908749541                               81.67715908749541                                 0.9999999999999992
1.2                                               0.08167717207228814                               81.67717207228813                                 0.9999999999999989
1.2                                               0.083557304841881                                 83.55730484188099                                 1.0000000000000009
1.2                                               0.0855329539913507                                85.5329539913507                                  0.9999999999999954
1.2                                               0.08917087875725814                               89.17087875725814                                 1.0000000000000002
1.2                                               0.08917088466675267                               89.17088466675266                                 0.9999999999999989
1.2                                               0.08975818554707987                               89.75818554707986                                 0.9999999999999988
1.2                                               0.08975818773823516                               89.75818773823515                                 0.9999999999999998
1.2                                               0.09833029270680575                               98.33029270680575                                 1.0000000000000016
1.2                                               0.09833029906107525                               98.33029906107525                                 0.9999999999999999
1.2                                               0.10384222092009163                               103.84222092009162                                0.9999999999999998
1.2                                               0.10384222698007389                               103.84222698007387                                0.9999999999999984
1.2                                               0.10914549813611482                               109.14549813611481                                0.9999999999999997
1.2                                               0.10914550386574015                               109.14550386574014                                0.9999999999999998
1.2                                               0.118951293352893                                 118.95129335289299                                0.9999999999999998
1.2                                               0.11895129396505064                               118.95129396505062                                0.9999999999999996
1.2                                               0.12159586601757333                               121.59586601757333                                1.0000000000000018
