% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 10 2026, 14:15
% Table:              Tabla 2 - Valor propio 3
% x_0 (nm)                                        lambda                                            Energía propia (meV)                              Probabilidad total (1)
-35                                               0.005911203244478261                              5.911203244478261                                 0.9999999999999968
-35                                               0.01419463771024354                               14.194637710243539                                1
-35                                               0.015138320382602044                              15.138320382602043                                0.9999999999999988
-35                                               0.016600849551029265                              16.600849551029263                                0.9999999999999987
-35                                               0.01685645370391768                               16.85645370391768                                 0.999999999999999
-35                                               0.020117254254509415                              20.11725425450941                                 1.0000000000000004
-35                                               0.02048923678063591                               20.48923678063591                                 1.0000000000000004
-35                                               0.02528750043997814                               25.28750043997814                                 1.000000000000002
-35                                               0.025720976387562114                              25.72097638756211                                 0.9999999999999978
-35                                               0.0319465542248113                                31.946554224811294                                0.9999999999999992
-35                                               0.03243350897834013                               32.43350897834013                                 0.9999999999999987
-35                                               0.0399623321262469                                39.96233212624689                                 1.0000000000000024
-35                                               0.04017481495955887                               40.17481495955887                                 1.0000000000000018
-35                                               0.04054051434857355                               40.540514348573545                                0.9999999999999981
-35                                               0.049075864371084556                              49.07586437108455                                 1.0000000000000007
-35                                               0.049960792338534225                              49.960792338534226                                1.0000000000000016
-35                                               0.05171568919089706                               51.715689190897045                                1.000000000000002
-35                                               0.05190160729174265                               51.90160729174265                                 1.0000000000000013
-35                                               0.05579782583593037                               55.79782583593036                                 1
-35                                               0.06060860452782965                               60.60860452782965                                 0.9999999999999982
-35                                               0.06089061641259237                               60.890616412592365                                0.9999999999999991
-35                                               0.06558237681133255                               65.58237681133255                                 0.9999999999999987
-35                                               0.06637244431980892                               66.37244431980892                                 1.0000000000000004
-35                                               0.06791457514115383                               67.91457514115382                                 1.0000000000000007
-35                                               0.068269487679274                                 68.269487679274                                   0.9999999999999979
-35                                               0.07136472896489496                               71.36472896489495                                 0.9999999999999998
-35                                               0.07203851578590635                               72.03851578590634                                 0.9999999999999989
-35                                               0.07260029383930498                               72.60029383930498                                 1.0000000000000007
-35                                               0.07263034871750432                               72.6303487175043                                  0.999999999999999
-35                                               0.07740067921572741                               77.4006792157274                                  1.0000000000000004
-35                                               0.07789946137273701                               77.89946137273701                                 0.9999999999999987
-35                                               0.08032606386225905                               80.32606386225903                                 1
-35                                               0.08232556981203847                               82.32556981203845                                 1
-35                                               0.08419717556575318                               84.19717556575317                                 1.0000000000000002
-35                                               0.08499766271884991                               84.99766271884991                                 0.9999999999999996
-35                                               0.0857244952832085                                85.72449528320848                                 0.9999999999999986
-35                                               0.08573929581141469                               85.73929581141468                                 1.000000000000002
-35                                               0.09377062416252008                               93.77062416252008                                 1.0000000000000004
-35                                               0.09437187908605918                               94.37187908605917                                 0.9999999999999998
-35                                               0.09916012069479618                               99.16012069479616                                 0.999999999999998
-35                                               0.09947430776718319                               99.47430776718318                                 0.9999999999999993
-35                                               0.10463580621661264                               104.63580621661264                                0.9999999999999973
-35                                               0.10516760701282414                               105.16760701282412                                1.0000000000000007
-35                                               0.11392401468898176                               113.92401468898176                                1.000000000000002
-35                                               0.11447408703358873                               114.47408703358872                                0.9999999999999998
-35                                               0.11717050838689869                               117.17050838689867                                0.9999999999999999
-35                                               0.1176201850637924                                117.6201850637924                                 0.9999999999999983
-35                                               0.12288754830121747                               122.88754830121745                                1.0000000000000004
-35                                               0.12291423816479685                               122.91423816479683                                0.9999999999999991
-35                                               0.1290723200100207                                129.0723200100207                                 0.9999999999999998
-34.5                                             0.004560374130529177                              4.560374130529176                                 0.9999999999999993
-34.5                                             0.01410250099631638                               14.102500996316378                                0.999999999999998
-34.5                                             0.015074694784914744                              15.074694784914742                                1.0000000000000013
-34.5                                             0.016502753535433665                              16.502753535433662                                1.0000000000000002
-34.5                                             0.016803001077310947                              16.803001077310945                                1
-34.5                                             0.019964917380881894                              19.964917380881893                                1.0000000000000009
-34.5                                             0.02042084583261071                               20.42084583261071                                 0.999999999999998
-34.5                                             0.025088479104508066                              25.08847910450806                                 1
-34.5                                             0.02564213143435186                               25.642131434351857                                0.9999999999999998
-34.5                                             0.03169726397770617                               31.697263977706164                                0.9999999999999998
-34.5                                             0.03234568333902725                               32.34568333902725                                 1
-34.5                                             0.03963573345235206                               39.635733452352056                                1.0000000000000009
-34.5                                             0.040124882101855386                              40.124882101855384                                0.9999999999999967
-34.5                                             0.04044425233144757                               40.444252331447565                                1.0000000000000004
-34.5                                             0.048506839611656284                              48.50683961165628                                 1.0000000000000004
-34.5                                             0.049855958815853356                              49.85595881585335                                 0.9999999999999994
-34.5                                             0.05166499003013499                               51.66499003013499                                 0.9999999999999998
-34.5                                             0.05185606278727917                               51.856062787279164                                0.9999999999999989
-34.5                                             0.054681907102185276                              54.68190710218527                                 1.0000000000000002
-34.5                                             0.060492918611535905                              60.4929186115359                                  0.9999999999999992
-34.5                                             0.06078430222166686                               60.78430222166685                                 1.0000000000000016
-34.5                                             0.0655071776449691                                65.50717764496909                                 0.9999999999999998
-34.5                                             0.06631830714251424                               66.31830714251424                                 1
-34.5                                             0.06782013866612885                               67.82013866612884                                 0.9999999999999981
-34.5                                             0.06821954717139736                               68.21954717139735                                 1.000000000000001
-34.5                                             0.07114906980555405                               71.14906980555403                                 1.0000000000000009
-34.5                                             0.07194098314257745                               71.94098314257744                                 0.9999999999999971
-34.5                                             0.07251533275601489                               72.51533275601489                                 1.0000000000000018
-34.5                                             0.07254910443556054                               72.54910443556052                                 0.9999999999999994
-34.5                                             0.07725262024081897                               77.25262024081896                                 1.0000000000000016
-34.5                                             0.077832027367421                                 77.83202736742099                                 1.000000000000001
-34.5                                             0.08027779723751939                               80.27779723751938                                 1.0000000000000027
-34.5                                             0.08227646786955745                               82.27646786955744                                 0.999999999999998
-34.5                                             0.08389747915376193                               83.89747915376192                                 1.0000000000000004
-34.5                                             0.08487456882922402                               84.87456882922402                                 0.9999999999999987
-34.5                                             0.08564588105706357                               85.64588105706356                                 0.9999999999999997
-34.5                                             0.08566491410072356                               85.66491410072355                                 1.0000000000000018
-34.5                                             0.09354891889473921                               93.5489188947392                                  0.9999999999999998
-34.5                                             0.09428886431201376                               94.28886431201374                                 0.9999999999999998
-34.5                                             0.09893770754158017                               98.93770754158015                                 1.0000000000000002
-34.5                                             0.09934694517718101                               99.346945177181                                   0.9999999999999997
-34.5                                             0.10444016604122205                               104.44016604122204                                1.0000000000000016
-34.5                                             0.10508532336037871                               105.0853233603787                                 0.9999999999999991
