x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
12.2	-25.20074931	-16.98818031	-9.564823776	-2.407213051	-1.438080491	4.495216988	8.536690412	11.56484318	15.18805896	18.76970794	21.50186757	25.00339853	26.60065853	26.65753027	32.29906378	33.10628539	35.19443913	37.69375643	41.68237639	42.06693816
12.4	-25.08938317	-16.91112991	-9.411621353	-2.239354476	0.1384263347	4.674096564	9.694560338	11.86823888	16.242073	19.52667042	22.30784097	26.60063252	27.61498425	28.05207539	32.9698354	34.50991572	36.30962647	39.2940877	42.72032426	42.87405551
12.6	-25.00117701	-16.84785551	-9.308519377	-2.121368188	1.352625334	4.804754064	10.4536399	12.22755494	16.84436328	20.29697028	22.79454101	27.70215027	28.51664867	29.38459754	33.43455563	35.77378266	37.10320016	40.78354439	43.33980285	43.40695159
12.8	-24.92615958	-16.79241391	-9.229301965	-2.029372661	2.329470514	4.911336815	10.92081599	12.66905478	17.2056778	21.01091888	23.11657412	28.31021245	29.2848822	30.83192551	33.77588938	36.8000725	37.714237	42.07888247	43.75943176	43.89318073
13	-24.85892246	-16.74148206	-9.162908153	-1.952184202	3.14838724	5.00721266	11.20545195	13.16133399	17.4472911	21.65093439	23.35062667	28.68289952	29.94408811	32.21016967	34.04179203	37.57902643	38.24549859	43.08108613	44.13381238	44.36900658
13.2	-24.79621389	-16.69295476	-9.103748766	-1.883797663	3.855551999	5.10455325	11.39377383	13.66602744	17.62636664	22.22919367	23.53450135	28.94795951	30.52523588	33.4308363	34.26027919	38.1278879	38.76964728	43.67864612	44.68895024	44.77500104
13.4	-24.73595171	-16.64546362	-9.048684341	-1.820719421	4.463196229	5.228704087	11.53293556	14.16610332	17.77023456	22.76294527	23.68798557	29.1559496	31.05343792	34.44794524	34.47451153	38.5148848	39.2864304	43.98668981	45.12619378	45.3604252
13.6	-24.67670837	-16.59803381	-8.995764667	-1.760736767	4.907504744	5.468580356	11.64578113	14.65874557	17.89302251	23.2671053	23.8222202	29.33038218	31.54719979	34.61506662	35.34775522	38.81571963	39.76867889	44.19383608	45.43722998	46.00770319
13.8	-24.6174618	-16.54994518	-8.943691668	-1.702367804	5.1193401	5.910623614	11.74372201	15.14632335	18.00265231	23.75315687	23.94389842	29.48377412	32.01979568	34.76824114	36.06707041	39.06947476	40.21296234	44.364914	45.7198441	46.604607
14	-24.55743144	-16.50062605	-8.891534394	-1.644553514	5.229371612	6.436566786	11.83293017	15.63259616	18.10390825	24.05729072	24.22979758	29.62348136	32.48090186	34.91190173	36.6521146	39.29402909	40.62946555	44.51972077	45.98281787	47.16000301
14.2	-24.49598916	-16.44959645	-8.838582371	-1.586492102	5.312697134	6.98051023	11.91703715	16.12136168	18.1998751	24.16526332	24.70365073	29.75413728	32.93775851	35.04912358	37.12234995	39.49881615	41.03164579	44.66620109	46.23255584	47.6865166
14.4	-24.43264215	-16.39647122	-8.784296301	-1.527582497	5.387471725	7.531142252	11.99830805	16.61588337	18.29261649	24.26979403	25.17968576	29.87880702	33.39569769	35.1820884	37.49540169	39.68964875	41.43174527	44.80833006	46.47364456	48.19472792
14.6	-24.36698571	-16.34092464	-8.728241333	-1.46734475	5.459300936	8.088085991	12.07824589	17.11889599	18.38357999	24.37229944	25.66174339	29.99960883	33.85879763	35.31240345	37.78712095	39.87059389	41.83914484	44.94841225	46.70936722	48.69279539
14.8	-24.29862934	-16.2826266	-8.670012396	-1.405345705	5.530568616	8.653350449	12.1579414	17.63297264	18.47385152	24.4738605	26.15310904	30.11808683	34.33044119	35.44134406	38.01249236	40.04476398	42.26038923	45.08796437	46.94213866	49.18706158
15	-24.22724857	-16.22129323	-8.60927128	-1.341226604	5.602523076	9.229109453	12.23819709	18.16018732	18.56426417	24.57532195	26.65633539	30.23541056	34.81312924	35.57005386	38.18458605	40.21452701	42.69925713	45.22804324	47.17373362	49.68220827
15.2	-24.15254063	-16.15665963	-8.545711401	-1.27466644	5.67594297	9.817466786	12.31963344	18.65546868	18.70233183	24.67734016	27.17356843	30.35246351	35.30813992	35.70023277	38.31464051	40.38161718	43.15780279	45.369406	47.40543988	50.18161346
15.4	-24.0742366	-16.08847731	-8.479050954	-1.205377397	5.75136435	10.42026007	12.40273584	18.74797952	19.26095775	24.78043843	27.70660635	30.46993619	35.78517883	35.86461486	38.41210803	40.54727528	43.63704012	45.51262407	47.63819493	50.68740696
15.6	-23.99209012	-16.01651466	-8.409034855	-1.133095797	5.829202155	11.03908315	12.48790696	18.84222222	19.8374044	24.88505253	28.25694786	30.5883902	35.95135202	36.35815887	38.4840824	40.71237218	44.13754601	45.65812968	47.87268456	51.20018459
15.8	-23.90578776	-15.94047877	-8.335349036	-1.057505034	5.909866602	11.67572712	12.57557183	18.93864953	20.43321812	24.99164236	28.8262816	30.70838999	36.08519426	36.90456858	38.53769165	40.87765719	44.66015804	45.8063807	48.10956529	51.71861664
