% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 18:50
% Table:              Tabla 9 - Valor propio 2
% F (kV/cm)                                       lambda                                            Energía propia (eV)                               Probabilidad total (1)
-25.000000000000004                               0.029374869210969864                              0.029374869210969864                              1.0000000000000002
-25.000000000000004                               0.0314248765333677                                0.0314248765333677                                1.0000000000000002
-25.000000000000004                               0.04233407876069994                               0.04233407876069994                               0.9999999999999993
-25.000000000000004                               0.04736271908238929                               0.04736271908238929                               1.0000000000000024
-25.000000000000004                               0.052978560866464554                              0.05297856086646456                               0.9999999999999997
-25.000000000000004                               0.05620620773824995                               0.056206207738249955                              1.0000000000000016
-25.000000000000004                               0.06327970818450977                               0.06327970818450977                               1.0000000000000007
-25.000000000000004                               0.07321713108351556                               0.07321713108351556                               1.000000000000001
-25.000000000000004                               0.07970282180889877                               0.07970282180889877                               1.0000000000000004
-25.000000000000004                               0.08124749614091216                               0.08124749614091217                               0.9999999999999999
-25.000000000000004                               0.08278883389717726                               0.08278883389717726                               1
-25.000000000000004                               0.09194151535568582                               0.09194151535568582                               1.0000000000000016
-25.000000000000004                               0.10064130263940953                               0.10064130263940953                               1.0000000000000002
-25.000000000000004                               0.10877144788276705                               0.10877144788276705                               1.0000000000000007
-25.000000000000004                               0.11427980024565138                               0.11427980024565139                               0.9999999999999979
-25.000000000000004                               0.11633790776860439                               0.11633790776860439                               0.9999999999999984
-25.000000000000004                               0.12141241887546589                               0.1214124188754659                                0.9999999999999992
-25.000000000000004                               0.12172054625885446                               0.12172054625885446                               1.0000000000000013
-25.000000000000004                               0.12404037551338108                               0.12404037551338108                               1.0000000000000018
-25.000000000000004                               0.12886926855208516                               0.12886926855208516                               1.000000000000001
-25.000000000000004                               0.13808288412102931                               0.13808288412102931                               0.9999999999999989
-25.000000000000004                               0.1403892919899706                                0.1403892919899706                                1.0000000000000002
-25.000000000000004                               0.1537426153813523                                0.1537426153813523                                1.0000000000000009
-25.000000000000004                               0.15525563028972897                               0.15525563028972897                               0.9999999999999983
-25.000000000000004                               0.15560987509531193                               0.15560987509531193                               0.9999999999999982
-25.000000000000004                               0.17158304024315632                               0.17158304024315632                               1.0000000000000007
-25.000000000000004                               0.1716746288071234                                0.17167462880712342                               1.0000000000000009
-25.000000000000004                               0.17190729329141918                               0.17190729329141918                               0.9999999999999972
-25.000000000000004                               0.17313507825122415                               0.17313507825122418                               0.9999999999999991
-25.000000000000004                               0.1758329232922386                                0.1758329232922386                                0.9999999999999973
-24.8                                             0.02949862315106018                               0.029498623151060183                              0.9999999999999977
-24.8                                             0.03184884367435292                               0.03184884367435293                               1.0000000000000013
-24.8                                             0.04271672979713376                               0.04271672979713376                               1.000000000000001
-24.8                                             0.04741646028407019                               0.04741646028407019                               0.999999999999998
-24.8                                             0.05331623300872964                               0.05331623300872965                               1.0000000000000022
-24.8                                             0.05615015785704946                               0.05615015785704946                               0.9999999999999996
-24.8                                             0.06357157850000722                               0.06357157850000722                               0.9999999999999997
-24.8                                             0.07346260462795072                               0.07346260462795072                               1.0000000000000004
-24.8                                             0.07969369741158505                               0.07969369741158505                               1.0000000000000009
-24.8                                             0.0812374720922442                                0.0812374720922442                                1.0000000000000009
-24.8                                             0.08298743303302099                               0.08298743303302099                               1.0000000000000016
-24.8                                             0.09209218836784581                               0.09209218836784581                               0.9999999999999982
-24.8                                             0.10074209203236807                               0.10074209203236807                               0.9999999999999993
-24.8                                             0.10881034362519275                               0.10881034362519275                               1.0000000000000024
-24.8                                             0.11386072369577895                               0.11386072369577896                               1.0000000000000033
-24.8                                             0.11632414123042095                               0.11632414123042095                               1.0000000000000009
-24.8                                             0.12141433728833098                               0.121414337288331                                 0.999999999999999
-24.8                                             0.12171690749086751                               0.12171690749086753                               0.9999999999999986
-24.8                                             0.12398936232714405                               0.12398936232714405                               0.9999999999999994
-24.8                                             0.12872888351918785                               0.12872888351918785                               0.9999999999999999
-24.8                                             0.1379984350781148                                0.1379984350781148                                1.000000000000001
-24.8                                             0.14025957232048641                               0.14025957232048641                               1.0000000000000018
-24.8                                             0.1536717148691924                                0.1536717148691924                                1.0000000000000013
-24.8                                             0.15517265234565236                               0.15517265234565236                               1.0000000000000009
-24.8                                             0.15570928912223084                               0.15570928912223084                               1
-24.8                                             0.1715847604713589                                0.17158476047135893                               1.000000000000001
-24.8                                             0.17167057293759447                               0.17167057293759447                               1.0000000000000022
-24.8                                             0.1718588959001851                                0.17185889590018513                               1.0000000000000002
-24.8                                             0.17307417258397828                               0.17307417258397828                               0.999999999999999
-24.8                                             0.17654888066566038                               0.1765488806656604                                1.0000000000000002
-24.6                                             0.029620987981698876                              0.02962098798169888                               1.0000000000000007
-24.6                                             0.03227381889177866                               0.03227381889177866                               0.9999999999999994
-24.6                                             0.043098981068155275                              0.043098981068155275                              0.9999999999999982
-24.6                                             0.04746993342889012                               0.047469933428890124                              0.9999999999999986
-24.6                                             0.05365340224710975                               0.05365340224710975                               1.0000000000000002
-24.6                                             0.05609371862042129                               0.0560937186204213                                1
-24.6                                             0.06386276363407199                               0.06386276363407199                               0.9999999999999986
-24.6                                             0.07370717490158879                               0.07370717490158879                               1.000000000000002
-24.6                                             0.0796845361287603                                0.0796845361287603                                1.000000000000002
-24.6                                             0.08122768032456165                               0.08122768032456167                               0.9999999999999997
-24.6                                             0.08318493935792104                               0.08318493935792104                               0.9999999999999992
-24.6                                             0.09224149648288732                               0.09224149648288733                               0.9999999999999993
-24.6                                             0.10084120882431165                               0.10084120882431166                               1
-24.6                                             0.10884495132376425                               0.10884495132376425                               1.0000000000000013
-24.6                                             0.11344344636976363                               0.11344344636976363                               0.9999999999999994
-24.6                                             0.11630758034255864                               0.11630758034255864                               1.0000000000000007
-24.6                                             0.12141625297620842                               0.12141625297620842                               0.9999999999999987
-24.6                                             0.12171330210544196                               0.12171330210544196                               1.0000000000000013
-24.6                                             0.12393723668895364                               0.12393723668895364                               0.999999999999999
-24.6                                             0.12858662716807284                               0.12858662716807284                               0.9999999999999984
-24.6                                             0.13791418661823843                               0.13791418661823843                               0.9999999999999986
-24.6                                             0.14013160414402548                               0.14013160414402548                               0.9999999999999992
-24.6                                             0.15360149135332415                               0.15360149135332415                               1.0000000000000013
-24.6                                             0.15509065701506286                               0.15509065701506286                               0.9999999999999993
-24.6                                             0.15580831009266738                               0.15580831009266738                               0.9999999999999978
-24.6                                             0.17158645124385136                               0.17158645124385136                               0.999999999999999
-24.6                                             0.17166217276216933                               0.17166217276216933                               0.9999999999999998
-24.6                                             0.17181539224591114                               0.17181539224591116                               0.9999999999999981
-24.6                                             0.173013883473352                                 0.173013883473352                                 1.0000000000000007
-24.6                                             0.1772645588738901                                0.17726455887389012                               1.0000000000000007
-24.400000000000002                               0.02974230191943776                               0.02974230191943776                               0.9999999999999977
-24.400000000000002                               0.03269945892956182                               0.03269945892956182                               1.0000000000000018
-24.400000000000002                               0.04348080393405123                               0.04348080393405124                               1.0000000000000007
-24.400000000000002                               0.0475231619320513                                0.0475231619320513                                0.9999999999999997
-24.400000000000002                               0.0539900547532122                                0.0539900547532122                                0.9999999999999989
-24.400000000000002                               0.05603690456484387                               0.05603690456484387                               0.9999999999999999
-24.400000000000002                               0.06415325503822                                  0.06415325503822002                               0.9999999999999996
-24.400000000000002                               0.07395082942195756                               0.07395082942195756                               0.999999999999999
-24.400000000000002                               0.07967534335051013                               0.07967534335051013                               1.0000000000000022
-24.400000000000002                               0.08121811922054983                               0.08121811922054983                               1.000000000000001
-24.400000000000002                               0.0833813347324392                                0.0833813347324392                                0.9999999999999986
-24.400000000000002                               0.0923894201575584                                0.0923894201575584                                1.0000000000000018
-24.400000000000002                               0.10093862651218673                               0.10093862651218674                               1.0000000000000007
