% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2026, 22:33
% Table:              Tabla 8 - Valor propio
% B (T)                                           lambda                                            Energía propia (eV)                               Probabilidad total (1)
0                                                 0.03501181833587372                               0.03501181833587372                               1.0000000000000016
0                                                 0.047058107379836275                              0.047058107379836275                              1.0000000000000007
0                                                 0.04817917312841292                               0.04817917312841292                               0.9999999999999998
0                                                 0.07254311252495751                               0.07254311252495751                               0.9999999999999978
0                                                 0.07612476265808939                               0.07612476265808939                               1.0000000000000002
0                                                 0.07756552616983395                               0.07756552616983395                               0.9999999999999976
0                                                 0.07991081451807346                               0.07991081451807347                               1.000000000000001
0                                                 0.08140979879444857                               0.08140979879444857                               0.9999999999999987
0                                                 0.08375871575694159                               0.08375871575694159                               0.9999999999999991
0                                                 0.08385070602623598                               0.08385070602623598                               1
0                                                 0.08913285145876688                               0.08913285145876688                               1.0000000000000007
0                                                 0.08924121137402082                               0.08924121137402082                               1.0000000000000002
0                                                 0.09699859410032025                               0.09699859410032026                               1
0                                                 0.0970844719268883                                0.0970844719268883                                1.0000000000000007
0                                                 0.10718650364336184                               0.10718650364336184                               1.0000000000000018
0                                                 0.10724755933555159                               0.10724755933555159                               1.0000000000000013
0                                                 0.11809954073194871                               0.11809954073194871                               0.9999999999999979
0                                                 0.11852171611027026                               0.11852171611027028                               1.0000000000000009
0                                                 0.11963877812532785                               0.11963877812532785                               1.0000000000000002
0                                                 0.11968044218671854                               0.11968044218671854                               1.0000000000000004
0                                                 0.1343192268202938                                0.1343192268202938                                0.999999999999998
0                                                 0.13434777555175337                               0.13434777555175337                               0.9999999999999973
0                                                 0.15119787473674898                               0.151197874736749                                 1
0                                                 0.1512176667812821                                0.15121766678128212                               1.0000000000000007
0                                                 0.1586667096606229                                0.1586667096606229                                0.9999999999999972
0                                                 0.1684622173659931                                0.1684622173659931                                1.0000000000000002
0                                                 0.16874995901453566                               0.16874995901453568                               1
0                                                 0.1702450270639962                                0.1702450270639962                                1.000000000000003
0                                                 0.17025850863434222                               0.17025850863434225                               0.9999999999999988
0                                                 0.17789641176381482                               0.17789641176381485                               0.9999999999999978
0.2                                               0.03501255983533051                               0.03501255983533052                               1.0000000000000018
0.2                                               0.04703450665327025                               0.047034506653270254                              1.0000000000000002
0.2                                               0.04820479664838445                               0.04820479664838445                               1
0.2                                               0.07254309537256959                               0.07254309537256959                               1.000000000000004
0.2                                               0.07604842483315374                               0.07604842483315374                               0.9999999999999981
0.2                                               0.07764414531362004-9.898222853972599E-18i        0.07764414531362006-9.8982228539726E-18i          1.0000000000000013
0.2                                               0.07990852891481683                               0.07990852891481683                               1.0000000000000016
0.2                                               0.0814270007523919                                0.08142700075239191                               1.0000000000000007
0.2                                               0.08350089042073604                               0.08350089042073605                               1.000000000000001
0.2                                               0.08412518299432305                               0.08412518299432306                               1.0000000000000007
0.2                                               0.08868781297379641                               0.08868781297379642                               1.0000000000000004
0.2                                               0.08970053566683639                               0.08970053566683639                               1.0000000000000004
0.2                                               0.09636314680999103                               0.09636314680999104                               1.0000000000000013
0.2                                               0.09773369091800964                               0.09773369091800964                               1.0000000000000016
0.2                                               0.10636336633034033                               0.10636336633034033                               1.000000000000001
0.2                                               0.10808431291455863                               0.10808431291455863                               1.0000000000000002
0.2                                               0.11775322243405319                               0.11775322243405319                               1.0000000000000022
0.2                                               0.1186316666586178                                0.1186316666586178                                0.9999999999999996
0.2                                               0.11887063221221959                               0.11887063221221959                               1.000000000000004
0.2                                               0.1207008692694814                                0.12070086926948141                               0.9999999999999998
0.2                                               0.1331322778049236                                0.1331322778049236                                1.0000000000000002
0.2                                               0.13554831486060193                               0.13554831486060193                               0.9999999999999993
0.2                                               0.14983334994069947                               0.14983334994069947                               1.0000000000000016
0.2                                               0.1525958121167772                                0.1525958121167772                                1.0000000000000004
0.2                                               0.15866575327477683                               0.15866575327477686                               0.9999999999999982
0.2                                               0.1679177641858189+9.60213854778457E-16i          0.1679177641858189+9.60213854778457E-16i          1.0000000000000007
0.2                                               0.16870421796267654-2.3656295271969475E-15i       0.16870421796267654-2.3656295271969475E-15i       0.9999999999999984
0.2                                               0.169298952151682+1.038844001341347E-14i          0.169298952151682+1.0388440013413471E-14i         0.9999999999999999
0.2                                               0.17181282815285664-2.3971344575251043E-15i       0.17181282815285667-2.3971344575251043E-15i       0.9999999999999987
0.2                                               0.17788120097134652+2.7421476677147256E-14i       0.17788120097134652+2.742147667714726E-14i        0.9999999999999993
0.4                                               0.03501478403125216                               0.03501478403125216                               1.0000000000000007
0.4                                               0.046969246175712916-5.897316622462713E-18i       0.046969246175712916-5.897316622462713E-18i       0.9999999999999992
0.4                                               0.04827612573862901+8.62611305450529E-18i         0.048276125738629015+8.626113054505291E-18i       0.9999999999999991
0.4                                               0.07254303096413617                               0.07254303096413617                               0.9999999999999983
0.4                                               0.07585502338840078-1.1476263108960056E-17i       0.07585502338840078-1.1476263108960057E-17i       1.0000000000000038
0.4                                               0.07784439722425512                               0.07784439722425512                               1.0000000000000018
0.4                                               0.07990232921578086                               0.07990232921578086                               0.9999999999999987
0.4                                               0.08147775943516829                               0.08147775943516829                               1.0000000000000007
0.4                                               0.08321949522873022                               0.08321949522873023                               1.0000000000000018
0.4                                               0.08445671092990326                               0.08445671092990326                               0.9999999999999978
0.4                                               0.08820733465587101                               0.08820733465587101                               0.9999999999999977
0.4                                               0.090223882171406                                 0.090223882171406                                 0.9999999999999999
0.4                                               0.09570058690502427                               0.09570058690502428                               0.9999999999999997
